created_at,full_text,translate,clean_tweet,lower,stopword,tokenize,stemmed,clean
Mon Mar 25 23:58:31 +0000 2024,@H4T14K4LN4L42 @prabowo @jokowi @Gerindra @PartaiGolkar @PartaiPAN @PDemokrat @KPU_ID @bawaslu_RI Kmrn msh jadi pengamat skrg udah jadi pakar politik....,@H4t14k4ln4l42 @prabowo @jokowi @gerindra @partaigolkar @partaipan @pdemokrat @kpu_id @bawaslu_ri kmrn still so the observer now is a political expert ....,kmrn still so the observer now is a political expert,kmrn still so the observer now is a political expert,still observer political expert,"['still', 'observer', 'political', 'expert']","['still', 'observ', 'polit', 'expert']",still observ polit expert
Mon Mar 25 23:57:45 +0000 2024,@H4T14K4LN4L42 @prabowo @jokowi @Gerindra @PartaiGolkar @PartaiPAN @PDemokrat @KPU_ID @bawaslu_RI Dasar Politisi Bajigur katanya Menang klo Menang hadapin dong Secara GENTELMEN pertahankan KEMENANGAN 02 lewat adu Argumentasi versi ANGKET... Siap2lah hancur berantakan Koalisi 02 krn sdh di kepung dua Jurusan Belakang dan Muka. Hak Angket dan Jalur MK... ,@H4t14k4ln4l42 @prabowo @jokowi @gerindra @partaigolkar @partaipan @pdemokrat @kpu_id @bawaslu_ri Basic Bajigur politician said he wins if you win facing the Gentelmen.Back and face majors.Questionnaire Rights and MK Line ...,Basic Bajigur politician said he wins if you win facing the Gentelmen Back and face majors Questionnaire Rights and MK Line,basic bajigur politician said he wins if you win facing the gentelmen back and face majors questionnaire rights and mk line,basic bajigur politician said wins win facing gentelmen back face majors questionnaire rights mk line,"['basic', 'bajigur', 'politician', 'said', 'wins', 'win', 'facing', 'gentelmen', 'back', 'face', 'majors', 'questionnaire', 'rights', 'mk', 'line']","['basic', 'bajigur', 'politician', 'said', 'win', 'win', 'face', 'gentelmen', 'back', 'face', 'major', 'questionnair', 'right', 'mk', 'line']",basic bajigur politician said win win face gentelmen back face major questionnair right mk line
Mon Mar 25 23:52:35 +0000 2024,@Encang_ajja Megamendung bknnya daerah rmh pak @prabowo ya?tolong min @Gerindra ada warga yg perlu dibantu.,@Encang_ajja megamendung instead of the area of ​​the house sir @prabowo huh? Please min @gerindra there are residents who need to be helped.,megamendung instead of the area of the house sirhuh Please minthere are residents who need to be helped,megamendung instead of the area of the house sirhuh please minthere are residents who need to be helped,megamendung instead area house sirhuh please minthere residents need helped,"['megamendung', 'instead', 'area', 'house', 'sirhuh', 'please', 'minthere', 'residents', 'need', 'helped']","['megamendung', 'instead', 'area', 'hous', 'sirhuh', 'pleas', 'minther', 'resid', 'need', 'help']",megamendung instead area hous sirhuh pleas minther resid need help
Mon Mar 25 23:50:49 +0000 2024,@H4T14K4LN4L42 @prabowo @jokowi @Gerindra @PartaiGolkar @PartaiPAN @PDemokrat @KPU_ID @bawaslu_RI Hanya gimmick....itu mereka,@H4t14k4ln4l42 @prabowo @jokowi @gerindra @partaigolkar @partaipan @pdemokrat @kpu_id @bawaslu_ri only gimmick ....,only gimmick,only gimmick,gimmick,['gimmick'],['gimmick'],gimmick
Mon Mar 25 23:47:13 +0000 2024,@Btrilham2 @RidNgemil @CNNIndonesia Emang Gerindra nemanin Edy dari 0? Bukan karna Edy figur populer dan mungkin menang pilkada Sumut? Disisi lain Gerindra nggak ada yg layak untuk ikut pilkada Sumut 2018 kan? Edy menang di pilkada 2018 gerindra naik 2 kursi di dprd sumut 2019 bukannya itu udah cukup?,"@Btrilham2 @ridngemil @cnnindonesia is it really Gerindra Nemanin Edy from 0?Not because Edy Figur is popular and might win the North Sumatra Pilkada?On the other hand, no one is worthy of participating in the 2018 North Sumatra Pilkada, right?Edy won in the 2018 Gerindra Pilkada up 2 seats in the 2019 North Sumatra DPRD, wasn't that enough?",is it really Gerindra Nemanin Edy from  Not because Edy Figur is popular and might win the North Sumatra Pilkada On the other hand no one is worthy of participating in the  North Sumatra Pilkada right Edy won in the  Gerindra Pilkada up  seats in the  North Sumatra DPRD wasn t that enough,is it really gerindra nemanin edy from  not because edy figur is popular and might win the north sumatra pilkada on the other hand no one is worthy of participating in the  north sumatra pilkada right edy won in the  gerindra pilkada up  seats in the  north sumatra dprd wasn t that enough,really gerindra nemanin edy edy figur popular might win north sumatra pilkada hand one worthy participating north sumatra pilkada right edy gerindra pilkada seats north sumatra dprd enough,"['really', 'gerindra', 'nemanin', 'edy', 'edy', 'figur', 'popular', 'might', 'win', 'north', 'sumatra', 'pilkada', 'hand', 'one', 'worthy', 'participating', 'north', 'sumatra', 'pilkada', 'right', 'edy', 'gerindra', 'pilkada', 'seats', 'north', 'sumatra', 'dprd', 'enough']","['realli', 'gerindra', 'nemanin', 'edi', 'edi', 'figur', 'popular', 'might', 'win', 'north', 'sumatra', 'pilkada', 'hand', 'one', 'worthi', 'particip', 'north', 'sumatra', 'pilkada', 'right', 'edi', 'gerindra', 'pilkada', 'seat', 'north', 'sumatra', 'dprd', 'enough']",realli gerindra nemanin edi edi figur popular might win north sumatra pilkada hand one worthi particip north sumatra pilkada right edi gerindra pilkada seat north sumatra dprd enough
Mon Mar 25 23:35:49 +0000 2024,Ketua DPD Partai Gerindra Jateng Sudaryono Siap Maju Pilgub Jateng https://t.co/vf3efr87Zo,Chairman of the Central Java Gerindra Party DPD Sudaryono is ready to advance the Central Java Pilgub https://t.co/VF3EFR87ZO,Chairman of the Central Java Gerindra Party DPD Sudaryono is ready to advance the Central Java Pilgub https t co VFEFRZO,chairman of the central java gerindra party dpd sudaryono is ready to advance the central java pilgub https t co vfefrzo,chairman central java gerindra party dpd sudaryono ready advance central java pilgub https co vfefrzo,"['chairman', 'central', 'java', 'gerindra', 'party', 'dpd', 'sudaryono', 'ready', 'advance', 'central', 'java', 'pilgub', 'https', 'co', 'vfefrzo']","['chairman', 'central', 'java', 'gerindra', 'parti', 'dpd', 'sudaryono', 'readi', 'advanc', 'central', 'java', 'pilgub', 'http', 'co', 'vfefrzo']",chairman central java gerindra parti dpd sudaryono readi advanc central java pilgub http co vfefrzo
Mon Mar 25 23:33:03 +0000 2024,@kompascom Coba check mulai dr diri sendiri soal food estate pengadaan alutsista. Klo mmg bersih lanjut di gerindra adik tercinta lalu ke kroni2 di 02 berani? Ini jg klo jd presiden. Klo MK batalin ?,"@kompascom Try checking from yourself about the food estate for the procurement of defense equipment.If it's clean, continue at Gerindra's beloved sister then to the cronies in 02 brave?This is also the president.If mk cancels?",Try checking from yourself about the food estate for the procurement of defense equipment If it s clean continue at Gerindra s beloved sister then to the cronies in  brave This is also the president If mk cancels,try checking from yourself about the food estate for the procurement of defense equipment if it s clean continue at gerindra s beloved sister then to the cronies in  brave this is also the president if mk cancels,try checking food estate procurement defense equipment clean continue gerindra beloved sister cronies brave also president mk cancels,"['try', 'checking', 'food', 'estate', 'procurement', 'defense', 'equipment', 'clean', 'continue', 'gerindra', 'beloved', 'sister', 'cronies', 'brave', 'also', 'president', 'mk', 'cancels']","['tri', 'check', 'food', 'estat', 'procur', 'defens', 'equip', 'clean', 'continu', 'gerindra', 'belov', 'sister', 'croni', 'brave', 'also', 'presid', 'mk', 'cancel']",tri check food estat procur defens equip clean continu gerindra belov sister croni brave also presid mk cancel
Mon Mar 25 23:31:32 +0000 2024,@H4T14K4LN4L42 @prabowo @jokowi @Gerindra @PartaiGolkar @PartaiPAN @PDemokrat @KPU_ID @bawaslu_RI Kasian saking stressnya ni akun,@H4t14k4ln4l42 @prabowo @jokowi @gerindra @partaigolkar @partaipan @pdemokrat @kpu_id @bawaslu_ri sorry so stress this account,sorry so stress this account,sorry so stress this account,sorry stress account,"['sorry', 'stress', 'account']","['sorri', 'stress', 'account']",sorri stress account
Mon Mar 25 23:30:07 +0000 2024,Tolong ya bantuannya! @jokowi @Gerindra @unmagnetism @kegblgnunfaedh @ARSIPAJA @0tk0il @Apple @AppleSupport https://t.co/pwJwCeB4a9,Please help!@jokowi @gerindra @unmagnetism @kegblgnunaedh @arsipaja @0tk0il @apple @apple support https://t.co/pwjwceb4a9,Please help support https t co pwjwceba,please help support https t co pwjwceba,please help support https co pwjwceba,"['please', 'help', 'support', 'https', 'co', 'pwjwceba']","['pleas', 'help', 'support', 'http', 'co', 'pwjwceba']",pleas help support http co pwjwceba
Mon Mar 25 23:27:50 +0000 2024,@FelixSGL1 @mdrfhyt Kayaknya demokrat juga dianak tirikan kayak psi. Awokwaw palingan golkar-gerindra-pan-pbb-perindo(kalau gabung pemerintah),@Felixsgl1 @mdrfhyt I think Democrats are also died like PSI.Awokwaw Palingan Golkar-Gerindra-PAN-PBB-Perindo (if you join the government),I think Democrats are also died like PSI Awokwaw Palingan Golkar Gerindra PAN PBB Perindo if you join the government,i think democrats are also died like psi awokwaw palingan golkar gerindra pan pbb perindo if you join the government,think democrats also died like psi awokwaw palingan golkar gerindra pan pbb perindo join government,"['think', 'democrats', 'also', 'died', 'like', 'psi', 'awokwaw', 'palingan', 'golkar', 'gerindra', 'pan', 'pbb', 'perindo', 'join', 'government']","['think', 'democrat', 'also', 'die', 'like', 'psi', 'awokwaw', 'palingan', 'golkar', 'gerindra', 'pan', 'pbb', 'perindo', 'join', 'govern']",think democrat also die like psi awokwaw palingan golkar gerindra pan pbb perindo join govern
