created_at,full_text,translate,clean_tweet,lower,stopword,tokenize,stemmed,clean
Mon Mar 25 23:51:22 +0000 2024,PDIP menanggapi hasil Pemilu 2024. Sekjen PDIP Hasto Kristiyanto bersyukur PDIP meraih kursi terbanyak di DPR namun ia juga menyoroti abuse of power Jokowi. @hasto @hasto66 66 bknkah presiden Jokowi itu didukung @PDIP. Ngebacot opo sampean tonk https://t.co/JrfYlLqNsV,PDIP responded to the results of the 2024 election. PDIP Secretary General Hasto Kristiyanto was grateful that PDIP won the most seats in the DPR but he also highlighted the Abuse of Power Jokowi.@Hasto @Hasto66 66 BKNKAKAH President Jokowi is supported by @pdip.Ngebacot opo sampean tonk https://t.co/jrfylllqnsv,PDIP responded to the results of the  election PDIP Secretary General Hasto Kristiyanto was grateful that PDIP won the most seats in the DPbut he also highlighted the Abuse of Power Jokowi  BKNKAKAH President Jokowi is supported by Ngebacot opo sampean tonk https t co jrfylllqnsv,pdip responded to the results of the  election pdip secretary general hasto kristiyanto was grateful that pdip won the most seats in the dpbut he also highlighted the abuse of power jokowi  bknkakah president jokowi is supported by ngebacot opo sampean tonk https t co jrfylllqnsv,pdip responded results election pdip secretary general hasto kristiyanto grateful pdip seats dpbut also highlighted abuse power jokowi bknkakah president jokowi supported ngebacot opo sampean tonk https co jrfylllqnsv,"['pdip', 'responded', 'results', 'election', 'pdip', 'secretary', 'general', 'hasto', 'kristiyanto', 'grateful', 'pdip', 'seats', 'dpbut', 'also', 'highlighted', 'abuse', 'power', 'jokowi', 'bknkakah', 'president', 'jokowi', 'supported', 'ngebacot', 'opo', 'sampean', 'tonk', 'https', 'co', 'jrfylllqnsv']","['pdip', 'respond', 'result', 'elect', 'pdip', 'secretari', 'gener', 'hasto', 'kristiyanto', 'grate', 'pdip', 'seat', 'dpbut', 'also', 'highlight', 'abus', 'power', 'jokowi', 'bknkakah', 'presid', 'jokowi', 'support', 'ngebacot', 'opo', 'sampean', 'tonk', 'http', 'co', 'jrfylllqnsv']",pdip respond result elect pdip secretari gener hasto kristiyanto grate pdip seat dpbut also highlight abus power jokowi bknkakah presid jokowi support ngebacot opo sampean tonk http co jrfylllqnsv
Mon Mar 25 23:50:28 +0000 2024,Pasca penetapan hasil Pemilu 2024 secara umum Polri memastikan situasi dalam keadaan aman dan kondusif. Hal tersebut tidak terlepas dari sinergi seluruh pihak dalam mengawal rangkaian kegiatan pesta demokrasi di Indonesia. https://t.co/kaEBREJBWR,After the determination of the 2024 election results in general the National Police ensured the situation was safe and conducive.This is inseparable from the synergy of all parties in guarding the series of democratic party activities in Indonesia.https://t.co/Kaebrejbwr,After the determination of the  election results in general the National Police ensured the situation was safe and conducive This is inseparable from the synergy of all parties in guarding the series of democratic party activities in Indonesia https t co Kaebrejbwr,after the determination of the  election results in general the national police ensured the situation was safe and conducive this is inseparable from the synergy of all parties in guarding the series of democratic party activities in indonesia https t co kaebrejbwr,determination election results general national police ensured situation safe conducive inseparable synergy parties guarding series democratic party activities indonesia https co kaebrejbwr,"['determination', 'election', 'results', 'general', 'national', 'police', 'ensured', 'situation', 'safe', 'conducive', 'inseparable', 'synergy', 'parties', 'guarding', 'series', 'democratic', 'party', 'activities', 'indonesia', 'https', 'co', 'kaebrejbwr']","['determin', 'elect', 'result', 'gener', 'nation', 'polic', 'ensur', 'situat', 'safe', 'conduc', 'insepar', 'synergi', 'parti', 'guard', 'seri', 'democrat', 'parti', 'activ', 'indonesia', 'http', 'co', 'kaebrejbwr']",determin elect result gener nation polic ensur situat safe conduc insepar synergi parti guard seri democrat parti activ indonesia http co kaebrejbwr
Mon Mar 25 23:49:10 +0000 2024,@HMJUSUFRIZAL @KPU_ID Pemilu paling buruk. Sepanjang sejarah. Semoga segera ada keputusan yg membatalkan hasil Pemilu Yg jadi tanda tanya ??? Apakah pemerintah menganggap hal yg biasa?? Bukan masalah kalah dan menang ttpi proses dari awal penuh rekayasa &amp; KKNnya sangat jelas. Mau mengadu kemana ???,@Hmjusufrizal @kpu_id The worst election.Throughout history.Hopefully there will soon be a decision that cancels the results of the election which is a question mark ???Does the government consider something normal ??Not a matter of losing and winning the process from the beginning full of engineering & amp;The KKN is very clear.Where do you want to complain ???,The worst election Throughout history Hopefully there will soon be a decision that cancels the results of the election which is a question mark Does the government consider something normal Not a matter of losing and winning the process from the beginning full of engineering amp The KKN is very clear Where do you want to complain,the worst election throughout history hopefully there will soon be a decision that cancels the results of the election which is a question mark does the government consider something normal not a matter of losing and winning the process from the beginning full of engineering amp the kkn is very clear where do you want to complain,worst election throughout history hopefully soon decision cancels results election question mark government consider something normal matter losing winning process beginning full engineering amp kkn clear want complain,"['worst', 'election', 'throughout', 'history', 'hopefully', 'soon', 'decision', 'cancels', 'results', 'election', 'question', 'mark', 'government', 'consider', 'something', 'normal', 'matter', 'losing', 'winning', 'process', 'beginning', 'full', 'engineering', 'amp', 'kkn', 'clear', 'want', 'complain']","['worst', 'elect', 'throughout', 'histori', 'hope', 'soon', 'decis', 'cancel', 'result', 'elect', 'question', 'mark', 'govern', 'consid', 'someth', 'normal', 'matter', 'lose', 'win', 'process', 'begin', 'full', 'engin', 'amp', 'kkn', 'clear', 'want', 'complain']",worst elect throughout histori hope soon decis cancel result elect question mark govern consid someth normal matter lose win process begin full engin amp kkn clear want complain
Mon Mar 25 23:47:33 +0000 2024,@officialMKRI bukan hanya di peruntukkan menilai angka perolehan suara Paslon pada Pilpres 2024 tetapi juga untuk memastikan Proses angka itu muncul. Jika hasil Pemilu 2024 merupakan hasil politik GENTONG BABI ... ??? https://t.co/InfHJ3NHqz,@officialmkri is not only intended to assess the vote rate of the candidate pair in the 2024 presidential election but also to ensure the number process appears.If the 2024 election results are the political result of Gentong Pigs ... ???https://t.co/infhj3nhqz,is not only intended to assess the vote rate of the candidate pair in the  presidential election but also to ensure the number process appears If the  election results are the political result of Gentong Pigs https t co infhjnhqz,is not only intended to assess the vote rate of the candidate pair in the  presidential election but also to ensure the number process appears if the  election results are the political result of gentong pigs https t co infhjnhqz,intended assess vote rate candidate pair presidential election also ensure number process appears election results political result gentong pigs https co infhjnhqz,"['intended', 'assess', 'vote', 'rate', 'candidate', 'pair', 'presidential', 'election', 'also', 'ensure', 'number', 'process', 'appears', 'election', 'results', 'political', 'result', 'gentong', 'pigs', 'https', 'co', 'infhjnhqz']","['intend', 'assess', 'vote', 'rate', 'candid', 'pair', 'presidenti', 'elect', 'also', 'ensur', 'number', 'process', 'appear', 'elect', 'result', 'polit', 'result', 'gentong', 'pig', 'http', 'co', 'infhjnhqz']",intend assess vote rate candid pair presidenti elect also ensur number process appear elect result polit result gentong pig http co infhjnhqz
Mon Mar 25 23:45:53 +0000 2024,@henrdeyjo Dalam menerima hasil Pemilu kita menghormati hak demokratis setiap individu dalam semangat Pemilu Damai,@henrdeyjo in accepting the results of the election we respect the democratic rights of every individual in the spirit of peaceful elections,in accepting the results of the election we respect the democratic rights of every individual in the spirit of peaceful elections,in accepting the results of the election we respect the democratic rights of every individual in the spirit of peaceful elections,accepting results election respect democratic rights every individual spirit peaceful elections,"['accepting', 'results', 'election', 'respect', 'democratic', 'rights', 'every', 'individual', 'spirit', 'peaceful', 'elections']","['accept', 'result', 'elect', 'respect', 'democrat', 'right', 'everi', 'individu', 'spirit', 'peac', 'elect']",accept result elect respect democrat right everi individu spirit peac elect
Mon Mar 25 23:36:10 +0000 2024,@Uki23 Gimana sih om.. hak angket jadikan utk memperkuat keabsahan hasil pemilu. Kenapa mesti takut ?. Jangan ditarik kemana mana lah... Logika anda berbeda dengan lpgika banyak orang,"@Uki23 What do you do, uncle ... the right to make the right to strengthen the validity of the election results.Why should you be afraid?Don't take anywhere ... Your logic is different from many people",What do you do uncle the right to make the right to strengthen the validity of the election results Why should you be afraid Don t take anywhere Your logic is different from many people,what do you do uncle the right to make the right to strengthen the validity of the election results why should you be afraid don t take anywhere your logic is different from many people,uncle right make right strengthen validity election results afraid take anywhere logic different many people,"['uncle', 'right', 'make', 'right', 'strengthen', 'validity', 'election', 'results', 'afraid', 'take', 'anywhere', 'logic', 'different', 'many', 'people']","['uncl', 'right', 'make', 'right', 'strengthen', 'valid', 'elect', 'result', 'afraid', 'take', 'anywher', 'logic', 'differ', 'mani', 'peopl']",uncl right make right strengthen valid elect result afraid take anywher logic differ mani peopl
Mon Mar 25 23:35:21 +0000 2024,KPU RI resmi telah menetapkan Keputusan KPU terkait hasil pemilu 2024. Keputusan itu bernomor 360/2024. Mari kita Jaga Kondusifitas Dengan Tidak Mudah Terprovokasi Perbedaan Pilihan. #dukungpemilu2024 #SukseskanPemilu2024 #Pemilu2024kondusif https://t.co/jxTKM8hBBA,The Indonesian KPU has officially made a KPU decision regarding the 2024 election results. The decision was numbered 360/2024.Let's maintain conduciveness with not easily provoked differences in choice.#Support Pemilu2024 #Successful Pemilu2024 #Election2024Kondusif https://t.co/jxtkm8hbba,The Indonesian KPU has officially made a KPU decision regarding the  election results The decision was numbered   Let s maintain conduciveness with not easily provoked differences in choice Support Pemilu Successful Pemilu ElectionKondusif https t co jxtkmhbba,the indonesian kpu has officially made a kpu decision regarding the  election results the decision was numbered   let s maintain conduciveness with not easily provoked differences in choice support pemilu successful pemilu electionkondusif https t co jxtkmhbba,indonesian kpu officially made kpu decision regarding election results decision numbered let maintain conduciveness easily provoked differences choice support pemilu successful pemilu electionkondusif https co jxtkmhbba,"['indonesian', 'kpu', 'officially', 'made', 'kpu', 'decision', 'regarding', 'election', 'results', 'decision', 'numbered', 'let', 'maintain', 'conduciveness', 'easily', 'provoked', 'differences', 'choice', 'support', 'pemilu', 'successful', 'pemilu', 'electionkondusif', 'https', 'co', 'jxtkmhbba']","['indonesian', 'kpu', 'offici', 'made', 'kpu', 'decis', 'regard', 'elect', 'result', 'decis', 'number', 'let', 'maintain', 'conduc', 'easili', 'provok', 'differ', 'choic', 'support', 'pemilu', 'success', 'pemilu', 'electionkondusif', 'http', 'co', 'jxtkmhbba']",indonesian kpu offici made kpu decis regard elect result decis number let maintain conduc easili provok differ choic support pemilu success pemilu electionkondusif http co jxtkmhbba
Mon Mar 25 23:35:12 +0000 2024,KPU RI resmi telah menetapkan Keputusan KPU terkait hasil pemilu 2024. Keputusan itu bernomor 360/2024. Mari kita Jaga Kondusifitas Dengan Tidak Mudah Terprovokasi Perbedaan Pilihan. #dukungpemilu2024 #SukseskanPemilu2024 #Pemilu2024kondusif https://t.co/Vdftx7kPAw,The Indonesian KPU has officially made a KPU decision regarding the 2024 election results. The decision was numbered 360/2024.Let's maintain conduciveness with not easily provoked differences in choice.#Support Pemilu2024 #Successful Pemilu2024 #Election2024Kondusif https://t.co/vdftx7kpaw,The Indonesian KPU has officially made a KPU decision regarding the  election results The decision was numbered   Let s maintain conduciveness with not easily provoked differences in choice Support Pemilu Successful Pemilu ElectionKondusif https t co vdftxkpaw,the indonesian kpu has officially made a kpu decision regarding the  election results the decision was numbered   let s maintain conduciveness with not easily provoked differences in choice support pemilu successful pemilu electionkondusif https t co vdftxkpaw,indonesian kpu officially made kpu decision regarding election results decision numbered let maintain conduciveness easily provoked differences choice support pemilu successful pemilu electionkondusif https co vdftxkpaw,"['indonesian', 'kpu', 'officially', 'made', 'kpu', 'decision', 'regarding', 'election', 'results', 'decision', 'numbered', 'let', 'maintain', 'conduciveness', 'easily', 'provoked', 'differences', 'choice', 'support', 'pemilu', 'successful', 'pemilu', 'electionkondusif', 'https', 'co', 'vdftxkpaw']","['indonesian', 'kpu', 'offici', 'made', 'kpu', 'decis', 'regard', 'elect', 'result', 'decis', 'number', 'let', 'maintain', 'conduc', 'easili', 'provok', 'differ', 'choic', 'support', 'pemilu', 'success', 'pemilu', 'electionkondusif', 'http', 'co', 'vdftxkpaw']",indonesian kpu offici made kpu decis regard elect result decis number let maintain conduc easili provok differ choic support pemilu success pemilu electionkondusif http co vdftxkpaw
Mon Mar 25 23:34:36 +0000 2024,KPU RI resmi telah menetapkan Keputusan KPU terkait hasil pemilu 2024. Keputusan itu bernomor 360/2024. Mari kita Jaga Kondusifitas Dengan Tidak Mudah Terprovokasi Perbedaan Pilihan. #dukungpemilu2024 #SukseskanPemilu2024 #Pemilu2024kondusif https://t.co/KCqi8PXNLm,The Indonesian KPU has officially made a KPU decision regarding the 2024 election results. The decision was numbered 360/2024.Let's maintain conduciveness with not easily provoked differences in choice.#Support Pemilu2024 #Successful Pemilu2024 #Election2024Kondusif https://t.co/kcqi8pxnlm,The Indonesian KPU has officially made a KPU decision regarding the  election results The decision was numbered   Let s maintain conduciveness with not easily provoked differences in choice Support Pemilu Successful Pemilu ElectionKondusif https t co kcqipxnlm,the indonesian kpu has officially made a kpu decision regarding the  election results the decision was numbered   let s maintain conduciveness with not easily provoked differences in choice support pemilu successful pemilu electionkondusif https t co kcqipxnlm,indonesian kpu officially made kpu decision regarding election results decision numbered let maintain conduciveness easily provoked differences choice support pemilu successful pemilu electionkondusif https co kcqipxnlm,"['indonesian', 'kpu', 'officially', 'made', 'kpu', 'decision', 'regarding', 'election', 'results', 'decision', 'numbered', 'let', 'maintain', 'conduciveness', 'easily', 'provoked', 'differences', 'choice', 'support', 'pemilu', 'successful', 'pemilu', 'electionkondusif', 'https', 'co', 'kcqipxnlm']","['indonesian', 'kpu', 'offici', 'made', 'kpu', 'decis', 'regard', 'elect', 'result', 'decis', 'number', 'let', 'maintain', 'conduc', 'easili', 'provok', 'differ', 'choic', 'support', 'pemilu', 'success', 'pemilu', 'electionkondusif', 'http', 'co', 'kcqipxnlm']",indonesian kpu offici made kpu decis regard elect result decis number let maintain conduc easili provok differ choic support pemilu success pemilu electionkondusif http co kcqipxnlm
Mon Mar 25 23:34:14 +0000 2024,PBNU ajak masyarakat kembali bersatu usai penetapan hasil Pemilu 2024 Ketum PBNU KH Yahya Cholil Staquf mengajak semua pihak untuk bersatu kembali setelah dilakukan penetapan hasil Pemilu 2024 oleh KPU. #PascaPemiluKitaBersatu Gus Miftah Amerika MUFC AC Milan https://t.co/y0JTHAeZk0,PBNU invites the community to reunite after the determination of the 2024 Election Results PBNU KH Yahya Cholil Staquf invites all parties to reunite after the determination of the 2024 election results by the KPU.#Pascapemilukitabersatu Gus Miftah America MUFC AC Milan https://t.co/y0jthaezk0,PBNU invites the community to reunite after the determination of the  Election Results PBNU KH Yahya Cholil Staquf invites all parties to reunite after the determination of the  election results by the KPU Pascapemilukitabersatu Gus Miftah America MUFC AC Milan https t co yjthaezk,pbnu invites the community to reunite after the determination of the  election results pbnu kh yahya cholil staquf invites all parties to reunite after the determination of the  election results by the kpu pascapemilukitabersatu gus miftah america mufc ac milan https t co yjthaezk,pbnu invites community reunite determination election results pbnu kh yahya cholil staquf invites parties reunite determination election results kpu pascapemilukitabersatu gus miftah america mufc ac milan https co yjthaezk,"['pbnu', 'invites', 'community', 'reunite', 'determination', 'election', 'results', 'pbnu', 'kh', 'yahya', 'cholil', 'staquf', 'invites', 'parties', 'reunite', 'determination', 'election', 'results', 'kpu', 'pascapemilukitabersatu', 'gus', 'miftah', 'america', 'mufc', 'ac', 'milan', 'https', 'co', 'yjthaezk']","['pbnu', 'invit', 'commun', 'reunit', 'determin', 'elect', 'result', 'pbnu', 'kh', 'yahya', 'cholil', 'staquf', 'invit', 'parti', 'reunit', 'determin', 'elect', 'result', 'kpu', 'pascapemilukitabersatu', 'gu', 'miftah', 'america', 'mufc', 'ac', 'milan', 'http', 'co', 'yjthaezk']",pbnu invit commun reunit determin elect result pbnu kh yahya cholil staquf invit parti reunit determin elect result kpu pascapemilukitabersatu gu miftah america mufc ac milan http co yjthaezk
