created_at,full_text,translate,clean_tweet,lower,stopword,tokenize,stemmed,clean
Mon Mar 25 22:21:49 +0000 2024,@arif48559928 @diankrtn__ Tanpa pdip dan lbp...dia bukan siapa2..,@arif4855928 @diankrtn__ without PDIP and LBP ... he is not anyone ..,without PDIP and LBP he is not anyone,without pdip and lbp he is not anyone,without pdip lbp anyone,"['without', 'pdip', 'lbp', 'anyone']","['without', 'pdip', 'lbp', 'anyon']",without pdip lbp anyon
Mon Mar 25 22:19:55 +0000 2024,@handajani23 Mantab PKS tetep istiqomah. Seperti yang dilakukan PDIP 2004 - 2014. Keren.,@Handajani23 Mantab PKS Still Istiqomah.As did PDIP 2004 - 2014. Cool.,Mantab PKS Still Istiqomah As did PDIP   Cool,mantab pks still istiqomah as did pdip   cool,mantab pks still istiqomah pdip cool,"['mantab', 'pks', 'still', 'istiqomah', 'pdip', 'cool']","['mantab', 'pk', 'still', 'istiqomah', 'pdip', 'cool']",mantab pk still istiqomah pdip cool
Mon Mar 25 22:17:51 +0000 2024,Dugaan Oknum TNI-Polri Terlibat di Pemilu 2024 PDIP Yakin Ada Perintah Atasan https://t.co/RJAcvBvLE0 https://t.co/RJAcvBvLE0,Allegations of TNI-Polri Person are involved in the 2024 PDIP Election believes there is an order of superiors https://t.co/rjacvbvle0 https://t.co/rjacvbvle0,Allegations of TNI Polri Person are involved in the  PDIP Election believes there is an order of superiors https t co rjacvbvle https t co rjacvbvle,allegations of tni polri person are involved in the  pdip election believes there is an order of superiors https t co rjacvbvle https t co rjacvbvle,allegations tni polri person involved pdip election believes order superiors https co rjacvbvle https co rjacvbvle,"['allegations', 'tni', 'polri', 'person', 'involved', 'pdip', 'election', 'believes', 'order', 'superiors', 'https', 'co', 'rjacvbvle', 'https', 'co', 'rjacvbvle']","['alleg', 'tni', 'polri', 'person', 'involv', 'pdip', 'elect', 'believ', 'order', 'superior', 'http', 'co', 'rjacvbvl', 'http', 'co', 'rjacvbvl']",alleg tni polri person involv pdip elect believ order superior http co rjacvbvl http co rjacvbvl
Mon Mar 25 22:17:49 +0000 2024,@MTaufiq_NTB Yang turun suara PDIP kok yang disebut anak abah Lo sadar bro,"@Mtaufiq_ntb who came down the votes of PDIP, what is called the child of Abah you realize bro",who came down the votes of PDIP what is called the child of Abah you realize bro,who came down the votes of pdip what is called the child of abah you realize bro,came votes pdip called child abah realize bro,"['came', 'votes', 'pdip', 'called', 'child', 'abah', 'realize', 'bro']","['came', 'vote', 'pdip', 'call', 'child', 'abah', 'realiz', 'bro']",came vote pdip call child abah realiz bro
Mon Mar 25 22:17:22 +0000 2024,Bukan Jokowi Effect PDIP Sebut Bansos Hingga Intimidasi Effect yang Terjadi di Pemilu 2024 https://t.co/yMXyWDa4Lk,Not Jokowi Effect PDIP calls Bansos to the intimidation of the effect that occurred in the 2024 election https://t.co/yxywda4lk,Not Jokowi Effect PDIP calls Bansos to the intimidation of the effect that occurred in the  election https t co yxywdalk,not jokowi effect pdip calls bansos to the intimidation of the effect that occurred in the  election https t co yxywdalk,jokowi effect pdip calls bansos intimidation effect occurred election https co yxywdalk,"['jokowi', 'effect', 'pdip', 'calls', 'bansos', 'intimidation', 'effect', 'occurred', 'election', 'https', 'co', 'yxywdalk']","['jokowi', 'effect', 'pdip', 'call', 'banso', 'intimid', 'effect', 'occur', 'elect', 'http', 'co', 'yxywdalk']",jokowi effect pdip call banso intimid effect occur elect http co yxywdalk
Mon Mar 25 22:16:52 +0000 2024,@its_me_And__ emang apa kecurangannya? karena si gibran yang harusnya gabisa jadi cawapres? kan yang ngusulin pdip,@its_me_and__ What is the cheating?Because the Gibran should not be a vice president?the one who emits PDIP,What is the cheating Because the Gibran should not be a vice president the one who emits PDIP,what is the cheating because the gibran should not be a vice president the one who emits pdip,cheating gibran vice president one emits pdip,"['cheating', 'gibran', 'vice', 'president', 'one', 'emits', 'pdip']","['cheat', 'gibran', 'vice', 'presid', 'one', 'emit', 'pdip']",cheat gibran vice presid one emit pdip
Mon Mar 25 22:10:36 +0000 2024,@CNNIndonesia Sudah jelas sikap PDIP berada dimana dan mereka teruji dalam segala cuaca. Bu Megawati senioritas dalam kancah politik dan kekuasaan bukan segalanya tapi menjadi bagian peradaban bangsa adalah keharusan. Dinamika kekuasaan.️,@CNNIndonesia is clear where PDIP's attitude is where and they are tested in all weather.Mrs. Megawati seniority in the political arena and power is not everything but being part of the nation's civilization is a must.The dynamics of power,is clear where PDIP s attitude is where and they are tested in all weather Mrs Megawati seniority in the political arena and power is not everything but being part of the nation s civilization is a must The dynamics of power,is clear where pdip s attitude is where and they are tested in all weather mrs megawati seniority in the political arena and power is not everything but being part of the nation s civilization is a must the dynamics of power,clear pdip attitude tested weather mrs megawati seniority political arena power everything part nation civilization must dynamics power,"['clear', 'pdip', 'attitude', 'tested', 'weather', 'mrs', 'megawati', 'seniority', 'political', 'arena', 'power', 'everything', 'part', 'nation', 'civilization', 'must', 'dynamics', 'power']","['clear', 'pdip', 'attitud', 'test', 'weather', 'mr', 'megawati', 'senior', 'polit', 'arena', 'power', 'everyth', 'part', 'nation', 'civil', 'must', 'dynam', 'power']",clear pdip attitud test weather mr megawati senior polit arena power everyth part nation civil must dynam power
Mon Mar 25 22:09:50 +0000 2024,@tekarok007 lebih tepatnya jokowi itu politikus yg beruntung beruntung didukung PDIP beruntung didukung rakyat yg terhipnotis dgn wajah ndesonya beruntung para ketum partai melakukan korupsi sehingga bisa disandera beruntung punya ipar di MK beruntung punya rakyat yg tergiur dgn bansos,@TEKAROK007 More precisely Jokowi is a lucky politician who is lucky to be supported by PDIP fortunate supported by the people who are hypnotized by the face of the ndesnyo lucky party charms committing corruption so that they can be held hostage to have a brother -in -law in the MK lucky to have people who are tempted by social assistance,More precisely Jokowi is a lucky politician who is lucky to be supported by PDIP fortunate supported by the people who are hypnotized by the face of the ndesnyo lucky party charms committing corruption so that they can be held hostage to have a brother in law in the MK lucky to have people who are tempted by social assistance,more precisely jokowi is a lucky politician who is lucky to be supported by pdip fortunate supported by the people who are hypnotized by the face of the ndesnyo lucky party charms committing corruption so that they can be held hostage to have a brother in law in the mk lucky to have people who are tempted by social assistance,precisely jokowi lucky politician lucky supported pdip fortunate supported people hypnotized face ndesnyo lucky party charms committing corruption held hostage brother law mk lucky people tempted social assistance,"['precisely', 'jokowi', 'lucky', 'politician', 'lucky', 'supported', 'pdip', 'fortunate', 'supported', 'people', 'hypnotized', 'face', 'ndesnyo', 'lucky', 'party', 'charms', 'committing', 'corruption', 'held', 'hostage', 'brother', 'law', 'mk', 'lucky', 'people', 'tempted', 'social', 'assistance']","['precis', 'jokowi', 'lucki', 'politician', 'lucki', 'support', 'pdip', 'fortun', 'support', 'peopl', 'hypnot', 'face', 'ndesnyo', 'lucki', 'parti', 'charm', 'commit', 'corrupt', 'held', 'hostag', 'brother', 'law', 'mk', 'lucki', 'peopl', 'tempt', 'social', 'assist']",precis jokowi lucki politician lucki support pdip fortun support peopl hypnot face ndesnyo lucki parti charm commit corrupt held hostag brother law mk lucki peopl tempt social assist
Mon Mar 25 22:09:38 +0000 2024,@atrotnoc ho flashato davide silvestri pdip,@atrotnoc Ho Flashato Davide Silvestri PDIP,Ho Flashato Davide Silvestri PDIP,ho flashato davide silvestri pdip,ho flashato davide silvestri pdip,"['ho', 'flashato', 'davide', 'silvestri', 'pdip']","['ho', 'flashato', 'david', 'silvestri', 'pdip']",ho flashato david silvestri pdip
Mon Mar 25 22:09:14 +0000 2024,Gerindra Dikabarkan Sudah Tawarkan Tiga Jabatan Menteri ke PDIP https://t.co/z9qoZBappx https://t.co/z9qoZBappx,Gerindra is reportedly offered three ministerial positions to PDIP https://t.co/z9qozbappx https://t.co/z9qozbappx,Gerindra is reportedly offered three ministerial positions to PDIP https t co zqozbappx https t co zqozbappx,gerindra is reportedly offered three ministerial positions to pdip https t co zqozbappx https t co zqozbappx,gerindra reportedly offered three ministerial positions pdip https co zqozbappx https co zqozbappx,"['gerindra', 'reportedly', 'offered', 'three', 'ministerial', 'positions', 'pdip', 'https', 'co', 'zqozbappx', 'https', 'co', 'zqozbappx']","['gerindra', 'reportedli', 'offer', 'three', 'ministeri', 'posit', 'pdip', 'http', 'co', 'zqozbappx', 'http', 'co', 'zqozbappx']",gerindra reportedli offer three ministeri posit pdip http co zqozbappx http co zqozbappx
