created_at,full_text,translate,clean_tweet,lower,stopword,tokenize,stemmed,clean
Mon Mar 25 23:35:31 +0000 2024,@aly_benzema @Boedoet12489730 @psi_id @grace_nat @Giring_Ganesha @Uki23 Sekarang mereka bisu... https://t.co/9PmfvtrMxB,@aly_benzema @boedoet12489730 @psi_id @grace_nat @giring_anesha @uki23 now they are mute ... https://t.co/9pmfvtrmxb,now they are mute https t co pmfvtrmxb,now they are mute https t co pmfvtrmxb,mute https co pmfvtrmxb,"['mute', 'https', 'co', 'pmfvtrmxb']","['mute', 'http', 'co', 'pmfvtrmxb']",mute http co pmfvtrmxb
Mon Mar 25 23:32:57 +0000 2024,@PancaNada @FaGtng @hannysilvie Masih ada PSI di Pileg...,@Pancanada @fagtng @hannysilvie still has a psi in the legislative election ...,still has a psi in the legislative election,still has a psi in the legislative election,still psi legislative election,"['still', 'psi', 'legislative', 'election']","['still', 'psi', 'legisl', 'elect']",still psi legisl elect
Mon Mar 25 23:31:35 +0000 2024,@psi_id Ketum kalian knapa jarang tampil? Apa balik lagi jadi tukang martabak?,@psi_id Ketum are you guys rarely appear?Is it back to being a martabak?,Ketum are you guys rarely appear Is it back to being a martabak,ketum are you guys rarely appear is it back to being a martabak,ketum guys rarely appear back martabak,"['ketum', 'guys', 'rarely', 'appear', 'back', 'martabak']","['ketum', 'guy', 'rare', 'appear', 'back', 'martabak']",ketum guy rare appear back martabak
Mon Mar 25 23:29:45 +0000 2024,@FelixSGL1 @mdrfhyt Iya tapi kayaknya si wowo mau mnegurangi pengaruh jokowi makanya kayaknya mentri psi paling jadi wakli gak jadi ketia hahahahah,"@Felixsgl1 @mdrfhyt yes but I think the wowo wants to reduce the influence of Jokowi, so it seems like the minister of PSI is the most wakli so it doesn't become hahahahahah",yes but I think the wowo wants to reduce the influence of Jokowi so it seems like the minister of PSI is the most wakli so it doesn t become hahahahahah,yes but i think the wowo wants to reduce the influence of jokowi so it seems like the minister of psi is the most wakli so it doesn t become hahahahahah,yes think wowo wants reduce influence jokowi seems like minister psi wakli become hahahahahah,"['yes', 'think', 'wowo', 'wants', 'reduce', 'influence', 'jokowi', 'seems', 'like', 'minister', 'psi', 'wakli', 'become', 'hahahahahah']","['ye', 'think', 'wowo', 'want', 'reduc', 'influenc', 'jokowi', 'seem', 'like', 'minist', 'psi', 'wakli', 'becom', 'hahahahahah']",ye think wowo want reduc influenc jokowi seem like minist psi wakli becom hahahahahah
Mon Mar 25 23:29:11 +0000 2024,@mesheviksus2 @mdrfhyt PBB mana kuat. Partai sangat kecil gitu berantem dah ama PSI,@mesheviks2 @mdrfhyt PBB where is strong.The party is very small so fighting and psi,PBB where is strong The party is very small so fighting and psi,pbb where is strong the party is very small so fighting and psi,pbb strong party small fighting psi,"['pbb', 'strong', 'party', 'small', 'fighting', 'psi']","['pbb', 'strong', 'parti', 'small', 'fight', 'psi']",pbb strong parti small fight psi
Mon Mar 25 23:27:50 +0000 2024,@FelixSGL1 @mdrfhyt Kayaknya demokrat juga dianak tirikan kayak psi. Awokwaw palingan golkar-gerindra-pan-pbb-perindo(kalau gabung pemerintah),@Felixsgl1 @mdrfhyt I think Democrats are also died like PSI.Awokwaw Palingan Golkar-Gerindra-PAN-PBB-Perindo (if you join the government),I think Democrats are also died like PSI Awokwaw Palingan Golkar Gerindra PAN PBB Perindo if you join the government,i think democrats are also died like psi awokwaw palingan golkar gerindra pan pbb perindo if you join the government,think democrats also died like psi awokwaw palingan golkar gerindra pan pbb perindo join government,"['think', 'democrats', 'also', 'died', 'like', 'psi', 'awokwaw', 'palingan', 'golkar', 'gerindra', 'pan', 'pbb', 'perindo', 'join', 'government']","['think', 'democrat', 'also', 'die', 'like', 'psi', 'awokwaw', 'palingan', 'golkar', 'gerindra', 'pan', 'pbb', 'perindo', 'join', 'govern']",think democrat also die like psi awokwaw palingan golkar gerindra pan pbb perindo join govern
Mon Mar 25 23:27:27 +0000 2024,PSI or GOLKAR? ,Psi or Golkar?,Psi or Golkar,psi or golkar,psi golkar,"['psi', 'golkar']","['psi', 'golkar']",psi golkar
Mon Mar 25 23:25:22 +0000 2024,@psi_id Omongan basi. Kalo bukan karena bapaknya apa bisa?? Saya lebis stuju malah sis yg maju lebih ok,"@psi_id stale talk.If not because of the father what can ??I was even more, even the sis who advanced was more ok",stale talk If not because of the father what can I was even more even the sis who advanced was more ok,stale talk if not because of the father what can i was even more even the sis who advanced was more ok,stale talk father even even sis advanced ok,"['stale', 'talk', 'father', 'even', 'even', 'sis', 'advanced', 'ok']","['stale', 'talk', 'father', 'even', 'even', 'si', 'advanc', 'ok']",stale talk father even even si advanc ok
Mon Mar 25 23:25:10 +0000 2024,@DedynurPalakka @mulanbilqis @psi_id Ide berhutang tanpa beban,@Dedynurpalakka @mulanbilqis @psi_id Idee of debt without burden,Idee of debt without burden,idee of debt without burden,idee debt without burden,"['idee', 'debt', 'without', 'burden']","['ide', 'debt', 'without', 'burden']",ide debt without burden
Mon Mar 25 23:15:43 +0000 2024,@ch_chotimah2 Keberadaan mereka didunia perpolikan indonesia; Ganjar PDIP brp thn? PSI brp thn?,@ch_chotimah2 Their existence in the world of Indonesian politics;Ganjar PDIP bro?Psi brp yr?,Their existence in the world of Indonesian politics Ganjar PDIP bro Psi brp yr,their existence in the world of indonesian politics ganjar pdip bro psi brp yr,existence world indonesian politics ganjar pdip bro psi yr,"['existence', 'world', 'indonesian', 'politics', 'ganjar', 'pdip', 'bro', 'psi', 'yr']","['exist', 'world', 'indonesian', 'polit', 'ganjar', 'pdip', 'bro', 'psi', 'yr']",exist world indonesian polit ganjar pdip bro psi yr
Mon Mar 25 23:13:01 +0000 2024,@psi_id Partai yg ga Punya Ideologi dan hanya bisa menjilat aja Pantas ga bisa masuk ke Senayan,@psi_id party that doesn't have ideology and can only lick it worthy of not being able to enter Senayan,party that doesn t have ideology and can only lick it worthy of not being able to enter Senayan,party that doesn t have ideology and can only lick it worthy of not being able to enter senayan,party ideology lick worthy able enter senayan,"['party', 'ideology', 'lick', 'worthy', 'able', 'enter', 'senayan']","['parti', 'ideolog', 'lick', 'worthi', 'abl', 'enter', 'senayan']",parti ideolog lick worthi abl enter senayan
Mon Mar 25 23:08:48 +0000 2024,@DedynurPalakka @mulanbilqis @psi_id Ide apa ? Ide soal bgmn spy seluruh keluarga berkuasa ? Bgmn politik dinasti merebak ? Silahkan Psi menjilat kita lihat apa rakyat setuju dg ide jkwi.,@Dedynurpalakka @mulanbilqis @psi_id What idea?Ideas about spy spy all families in power?How about dynastic politics spread?Please psi lick us to see if the people agree with JKWI's ideas.,What idea Ideas about spy spy all families in power How about dynastic politics spread Please psi lick us to see if the people agree with JKWI s ideas,what idea ideas about spy spy all families in power how about dynastic politics spread please psi lick us to see if the people agree with jkwi s ideas,idea ideas spy spy families power dynastic politics spread please psi lick us see people agree jkwi ideas,"['idea', 'ideas', 'spy', 'spy', 'families', 'power', 'dynastic', 'politics', 'spread', 'please', 'psi', 'lick', 'us', 'see', 'people', 'agree', 'jkwi', 'ideas']","['idea', 'idea', 'spi', 'spi', 'famili', 'power', 'dynast', 'polit', 'spread', 'pleas', 'psi', 'lick', 'us', 'see', 'peopl', 'agre', 'jkwi', 'idea']",idea idea spi spi famili power dynast polit spread pleas psi lick us see peopl agre jkwi idea
Mon Mar 25 23:06:35 +0000 2024,@DedynurPalakka @psi_id Terserah itu pandangan loe. Tp bg kami yg dulu memilih jkwi2x telah salah dan tertipu oleh wajah ndeso. Apa gunanya memilih jkw dulu utk mencegah pelanggar ham berkuasa kalo sekrg malah jkwi mendukung pelanggar ham itu ? Politik itu busuk penuh pengkhianatan.,@Dedynurpalakka @psi_id it's up to you.But we who used to choose JKWI2X were wrong and fooled by the face of Ndeso.What is the point of choosing JKW first to prevent human rights violators in power if the Sekrg even JKWI supports the human rights violators?Politics is rotten full of betrayal.,it s up to you But we who used to choose JKWIX were wrong and fooled by the face of Ndeso What is the point of choosing JKW first to prevent human rights violators in power if the Sekrg even JKWI supports the human rights violators Politics is rotten full of betrayal,it s up to you but we who used to choose jkwix were wrong and fooled by the face of ndeso what is the point of choosing jkw first to prevent human rights violators in power if the sekrg even jkwi supports the human rights violators politics is rotten full of betrayal,used choose jkwix wrong fooled face ndeso point choosing jkw first prevent human rights violators power sekrg even jkwi supports human rights violators politics rotten full betrayal,"['used', 'choose', 'jkwix', 'wrong', 'fooled', 'face', 'ndeso', 'point', 'choosing', 'jkw', 'first', 'prevent', 'human', 'rights', 'violators', 'power', 'sekrg', 'even', 'jkwi', 'supports', 'human', 'rights', 'violators', 'politics', 'rotten', 'full', 'betrayal']","['use', 'choos', 'jkwix', 'wrong', 'fool', 'face', 'ndeso', 'point', 'choos', 'jkw', 'first', 'prevent', 'human', 'right', 'violat', 'power', 'sekrg', 'even', 'jkwi', 'support', 'human', 'right', 'violat', 'polit', 'rotten', 'full', 'betray']",use choos jkwix wrong fool face ndeso point choos jkw first prevent human right violat power sekrg even jkwi support human right violat polit rotten full betray
Mon Mar 25 23:05:26 +0000 2024,sebutkan alasan jgn masuk fisip wahai oomfs fisip,"Mention the reasons for not entering FISIP, O Oomfs Fisip",Mention the reasons for not entering FISIP O Oomfs Fisip,mention the reasons for not entering fisip o oomfs fisip,mention reasons entering fisip oomfs fisip,"['mention', 'reasons', 'entering', 'fisip', 'oomfs', 'fisip']","['mention', 'reason', 'enter', 'fisip', 'oomf', 'fisip']",mention reason enter fisip oomf fisip
