created_at,keyword,full_text,translate,clean_tweet,lower,stopword,tokenize,stemmed,clean,predicted_label,predicted
Mon Mar 25 22:04:10 +0000 2024,golkar,@anasurbaningrum Ndak masuk partai besar Mas?.. Golkar misalnya..,"@anasurbaningrum doesn't enter a big party, bro? .. Golkar for example ..",doesn t enter a big party bro Golkar for example,doesn t enter a big party bro golkar for example,enter big party bro golkar example,"['enter', 'big', 'party', 'bro', 'golkar', 'example']","['enter', 'big', 'parti', 'bro', 'golkar', 'exampl']",enter big parti bro golkar exampl,negative,0.000301468
Mon Mar 25 22:03:39 +0000 2024,golkar,@rahmaniarbaftim @rachlannashidik Ketum Golkar yg berhasil membawa partainya nambah kursi di DPR saja posisinya justru digoyang jelang Munas. Kalau ketum PD kira² cemana ya?,"@rahmaniarbaftim @rachlannashidik Ketum Golkar who succeeded in bringing his party to add seats in the DPR alone, the position was joked ahead of the National Conference.If you think about the cemana huh?",Ketum Golkar who succeeded in bringing his party to add seats in the DPalone the position was joked ahead of the National Conference If you think about the cemana huh,ketum golkar who succeeded in bringing his party to add seats in the dpalone the position was joked ahead of the national conference if you think about the cemana huh,ketum golkar succeeded bringing party add seats dpalone position joked ahead national conference think cemana huh,"['ketum', 'golkar', 'succeeded', 'bringing', 'party', 'add', 'seats', 'dpalone', 'position', 'joked', 'ahead', 'national', 'conference', 'think', 'cemana', 'huh']","['ketum', 'golkar', 'succeed', 'bring', 'parti', 'add', 'seat', 'dpalon', 'posit', 'joke', 'ahead', 'nation', 'confer', 'think', 'cemana', 'huh']",ketum golkar succeed bring parti add seat dpalon posit joke ahead nation confer think cemana huh,positive,1
Mon Mar 25 22:01:08 +0000 2024,golkar,Hasto Kristiyanto Beri Peringatan Keras untuk Golkar PDIP Siap Berperang https://t.co/iysqG1iFbp,Hasto Kristiyanto gave a stern warning to Golkar PDIP ready to fight https://t.co/iysqg1ifbp,Hasto Kristiyanto gave a stern warning to Golkar PDIP ready to fight https t co iysqgifbp,hasto kristiyanto gave a stern warning to golkar pdip ready to fight https t co iysqgifbp,hasto kristiyanto gave stern warning golkar pdip ready fight https co iysqgifbp,"['hasto', 'kristiyanto', 'gave', 'stern', 'warning', 'golkar', 'pdip', 'ready', 'fight', 'https', 'co', 'iysqgifbp']","['hasto', 'kristiyanto', 'gave', 'stern', 'warn', 'golkar', 'pdip', 'readi', 'fight', 'http', 'co', 'iysqgifbp']",hasto kristiyanto gave stern warn golkar pdip readi fight http co iysqgifbp,positive,0.9998907
Mon Mar 25 22:00:43 +0000 2024,golkar,Golkar Kecewa tak Lagi Dukung Edy Rahmayadi di Pilkada Gubernur Sumatera Utara https://t.co/o6XXNuWg2S via @tribunmedan,Golkar disappointed no longer supporting Edy Rahmayadi in the North Sumatra Governor Election https://t.co/o6xxnuwg2s via @tribunmedan,Golkar disappointed no longer supporting Edy Rahmayadi in the North Sumatra Governor Election https t co oxxnuwgs via,golkar disappointed no longer supporting edy rahmayadi in the north sumatra governor election https t co oxxnuwgs via,golkar disappointed longer supporting edy rahmayadi north sumatra governor election https co oxxnuwgs via,"['golkar', 'disappointed', 'longer', 'supporting', 'edy', 'rahmayadi', 'north', 'sumatra', 'governor', 'election', 'https', 'co', 'oxxnuwgs', 'via']","['golkar', 'disappoint', 'longer', 'support', 'edi', 'rahmayadi', 'north', 'sumatra', 'governor', 'elect', 'http', 'co', 'oxxnuwg', 'via']",golkar disappoint longer support edi rahmayadi north sumatra governor elect http co oxxnuwg via,positive,0.9849466
Mon Mar 25 22:00:01 +0000 2024,golkar,Ini Daftar 6 Caleg DPR RI Terpilih Dari Partai Golkar Asal Banten dan Jakarta https://t.co/Uc4AriXWc6,This is a list of 6 elected DPR RI candidates from the Golkar Party from Banten and Jakarta https://t.co/uc4arixwc6,This is a list of  elected DPRI candidates from the Golkar Party from Banten and Jakarta https t co ucarixwc,this is a list of  elected dpri candidates from the golkar party from banten and jakarta https t co ucarixwc,list elected dpri candidates golkar party banten jakarta https co ucarixwc,"['list', 'elected', 'dpri', 'candidates', 'golkar', 'party', 'banten', 'jakarta', 'https', 'co', 'ucarixwc']","['list', 'elect', 'dpri', 'candid', 'golkar', 'parti', 'banten', 'jakarta', 'http', 'co', 'ucarixwc']",list elect dpri candid golkar parti banten jakarta http co ucarixwc,positive,0.9995291
Mon Mar 25 21:58:14 +0000 2024,golkar,Wakil Ketua Komisi IX DPR RI Melkiades Laka Lena menegaskan Seluruh perusahaan diminta untuk memberikan THR kepada karyawannya tanpa terkecuali perusahaan ojek online (ojol). #partaigolkar #golkarprabowo #golkarpedia #prabowogibran2024 #MelkiadesLakaLena https://t.co/CTe8qZTYpQ https://t.co/hqYLNFHIl6,Deputy Chairman of the House of Representatives Commission IX Melkiades Laka Lena emphasized that all companies were asked to give THR to their employees without exception the Ojek Online (Ojol) company.#partaigolkar #golkarprabowo #golkarpedia #prabowogibran2024 #melkiadeslalana https://t.co/cte8qztypq https://t.co/hqylnfhil6,Deputy Chairman of the House of Representatives Commission IX Melkiades Laka Lena emphasized that all companies were asked to give THto their employees without exception the Ojek Online Ojol company partaigolkar golkarprabowo golkarpedia prabowogibran melkiadeslalana https t co cteqztypq https t co hqylnfhil,deputy chairman of the house of representatives commission ix melkiades laka lena emphasized that all companies were asked to give thto their employees without exception the ojek online ojol company partaigolkar golkarprabowo golkarpedia prabowogibran melkiadeslalana https t co cteqztypq https t co hqylnfhil,deputy chairman house representatives commission ix melkiades laka lena emphasized companies asked give thto employees without exception ojek online ojol company partaigolkar golkarprabowo golkarpedia prabowogibran melkiadeslalana https co cteqztypq https co hqylnfhil,"['deputy', 'chairman', 'house', 'representatives', 'commission', 'ix', 'melkiades', 'laka', 'lena', 'emphasized', 'companies', 'asked', 'give', 'thto', 'employees', 'without', 'exception', 'ojek', 'online', 'ojol', 'company', 'partaigolkar', 'golkarprabowo', 'golkarpedia', 'prabowogibran', 'melkiadeslalana', 'https', 'co', 'cteqztypq', 'https', 'co', 'hqylnfhil']","['deputi', 'chairman', 'hous', 'repres', 'commiss', 'ix', 'melkiad', 'laka', 'lena', 'emphas', 'compani', 'ask', 'give', 'thto', 'employe', 'without', 'except', 'ojek', 'onlin', 'ojol', 'compani', 'partaigolkar', 'golkarprabowo', 'golkarpedia', 'prabowogibran', 'melkiadeslalana', 'http', 'co', 'cteqztypq', 'http', 'co', 'hqylnfhil']",deputi chairman hous repres commiss ix melkiad laka lena emphas compani ask give thto employe without except ojek onlin ojol compani partaigolkar golkarprabowo golkarpedia prabowogibran melkiadeslalana http co cteqztypq http co hqylnfhil,positive,1
Mon Mar 25 21:55:38 +0000 2024,golkar,Partai Golkar selalu mendukung Pak Jokowi #jokowi #airlanggahartarto #prabowo #golkarindonesia #prabowogibran https://t.co/IP56DfmqmB,The Golkar Party always supports Mr. Jokowi #Jokowi #Airlanggahartarto #Prabowo #Golkarindonesia #Prabowogibran https://t.co/ip56dfmqmb,The Golkar Party always supports Mr Jokowi Jokowi Airlanggahartarto Prabowo Golkarindonesia Prabowogibran https t co ipdfmqmb,the golkar party always supports mr jokowi jokowi airlanggahartarto prabowo golkarindonesia prabowogibran https t co ipdfmqmb,golkar party always supports mr jokowi jokowi airlanggahartarto prabowo golkarindonesia prabowogibran https co ipdfmqmb,"['golkar', 'party', 'always', 'supports', 'mr', 'jokowi', 'jokowi', 'airlanggahartarto', 'prabowo', 'golkarindonesia', 'prabowogibran', 'https', 'co', 'ipdfmqmb']","['golkar', 'parti', 'alway', 'support', 'mr', 'jokowi', 'jokowi', 'airlanggahartarto', 'prabowo', 'golkarindonesia', 'prabowogibran', 'http', 'co', 'ipdfmqmb']",golkar parti alway support mr jokowi jokowi airlanggahartarto prabowo golkarindonesia prabowogibran http co ipdfmqmb,positive,0.9999437
Mon Mar 25 21:52:42 +0000 2024,golkar,@DS_yantie Demokrat Pan dan Golkar mulai cakar cakaran rebutan jatah tulang Jigetin ajaaaaaaaaa,@Ds_yantie Democrat Pan and Golkar began to claw the scrape of the jigetin bone sequence.,Democrat Pan and Golkar began to claw the scrape of the jigetin bone sequence,democrat pan and golkar began to claw the scrape of the jigetin bone sequence,democrat pan golkar began claw scrape jigetin bone sequence,"['democrat', 'pan', 'golkar', 'began', 'claw', 'scrape', 'jigetin', 'bone', 'sequence']","['democrat', 'pan', 'golkar', 'began', 'claw', 'scrape', 'jigetin', 'bone', 'sequenc']",democrat pan golkar began claw scrape jigetin bone sequenc,negative,0.003253277
Mon Mar 25 21:46:40 +0000 2024,golkar,@detikcom PPP salah langkah dukung Ganjar-Mahfud ? ini ASBUN &amp; OMON². PPP kalah karena dikerjain Jokowi. Ini kecurangan pemilu. Telah terbukti atau patut diduga sebagian besar suara PPP pindah ke PSI atau Golkar atau... Sialan ! (Boni).,@detikcom ppp wrong steps to support Ganjar-Mahfud?this is asbun & amp;Omon.PPP lost because Jokowi was bullied.This is election fraud.It has been proven or should be suspected that most of the PPP votes moved to PSI or Golkar or ... Damn it!(Boni).,ppp wrong steps to support Ganjar Mahfud this is asbun amp Omon PPP lost because Jokowi was bullied This is election fraud It has been proven or should be suspected that most of the PPP votes moved to PSI or Golkar or Damn it Boni,ppp wrong steps to support ganjar mahfud this is asbun amp omon ppp lost because jokowi was bullied this is election fraud it has been proven or should be suspected that most of the ppp votes moved to psi or golkar or damn it boni,ppp wrong steps support ganjar mahfud asbun amp omon ppp lost jokowi bullied election fraud proven suspected ppp votes moved psi golkar damn boni,"['ppp', 'wrong', 'steps', 'support', 'ganjar', 'mahfud', 'asbun', 'amp', 'omon', 'ppp', 'lost', 'jokowi', 'bullied', 'election', 'fraud', 'proven', 'suspected', 'ppp', 'votes', 'moved', 'psi', 'golkar', 'damn', 'boni']","['ppp', 'wrong', 'step', 'support', 'ganjar', 'mahfud', 'asbun', 'amp', 'omon', 'ppp', 'lost', 'jokowi', 'bulli', 'elect', 'fraud', 'proven', 'suspect', 'ppp', 'vote', 'move', 'psi', 'golkar', 'damn', 'boni']",ppp wrong step support ganjar mahfud asbun amp omon ppp lost jokowi bulli elect fraud proven suspect ppp vote move psi golkar damn boni,positive,0.9952956
Mon Mar 25 21:42:14 +0000 2024,golkar,@kaiserundkatze Golkar aja udh minta (minimal) 5 ye kan ,@kaiserundkatze Golkar just asked for (at least) 5,Golkar just asked for at least ,golkar just asked for at least ,golkar asked least,"['golkar', 'asked', 'least']","['golkar', 'ask', 'least']",golkar ask least,negative,2.61E-05
