created_at,keyword,full_text,translate,clean_tweet,lower,stopword,tokenize,stemmed,clean,predicted_label,predicted
Mon Mar 25 08:48:00 +0000 2024,perindo,Repost dari @partaiperindo Waketum Partai Perindo Bidang Pemilu Ferry Kurnia Rizkiyansyah menyoroti Pemilu 2024 yang kolutif diwarnai nepotisme serta melanggar hukum dan konstitusi Menurutnya ini harus ditindak sebagai upaya menjaga reputasi Indonesia #PerindoUpdate https://t.co/yL7rXiddLX,Repost from @partaiperindo Waketum Perindo Party in the field of Election Ferry Kurnia Rizkiyansyah highlighted the colutive elections that were colored by nepotism and violated the law and constitution according to him this must be dealt with as an effort to maintain the reputation of Indonesia #perindoupdate https://t.co/yl7rxiddlx,Repost fromWaketum Perindo Party in the field of Election Ferry Kurnia Rizkiyansyah highlighted the colutive elections that were colored by nepotism and violated the law and constitution according to him this must be dealt with as an effort to maintain the reputation of Indonesia perindoupdate https t co ylrxiddlx,repost fromwaketum perindo party in the field of election ferry kurnia rizkiyansyah highlighted the colutive elections that were colored by nepotism and violated the law and constitution according to him this must be dealt with as an effort to maintain the reputation of indonesia perindoupdate https t co ylrxiddlx,repost fromwaketum perindo party field election ferry kurnia rizkiyansyah highlighted colutive elections colored nepotism violated law constitution according must dealt effort maintain reputation indonesia perindoupdate https co ylrxiddlx,"['repost', 'fromwaketum', 'perindo', 'party', 'field', 'election', 'ferry', 'kurnia', 'rizkiyansyah', 'highlighted', 'colutive', 'elections', 'colored', 'nepotism', 'violated', 'law', 'constitution', 'according', 'must', 'dealt', 'effort', 'maintain', 'reputation', 'indonesia', 'perindoupdate', 'https', 'co', 'ylrxiddlx']","['repost', 'fromwaketum', 'perindo', 'parti', 'field', 'elect', 'ferri', 'kurnia', 'rizkiyansyah', 'highlight', 'colut', 'elect', 'color', 'nepot', 'violat', 'law', 'constitut', 'accord', 'must', 'dealt', 'effort', 'maintain', 'reput', 'indonesia', 'perindoupd', 'http', 'co', 'ylrxiddlx']",repost fromwaketum perindo parti field elect ferri kurnia rizkiyansyah highlight colut elect color nepot violat law constitut accord must dealt effort maintain reput indonesia perindoupd http co ylrxiddlx,positive,0.99999857
Mon Mar 25 08:48:00 +0000 2024,perindo,Repost dari @partaiperindo Waketum Partai Perindo Bidang Pemilu Ferry Kurnia Rizkiyansyah menyoroti Pemilu 2024 yang kolutif diwarnai nepotisme serta melanggar hukum dan konstitusi Menurutnya ini harus ditindak sebagai upaya menjaga reputasi Indonesia #PerindoUpdate https://t.co/t3DAw20cTh,Repost from @partaiperindo Waketum Perindo Party in the field of Election Ferry Kurnia Rizkiyansyah highlighted the colutive elections which were colored by nepotism and violated the law and constitution according to him this must be dealt with as an effort to maintain Indonesian reputation,Repost fromWaketum Perindo Party in the field of Election Ferry Kurnia Rizkiyansyah highlighted the colutive elections which were colored by nepotism and violated the law and constitution according to him this must be dealt with as an effort to maintain Indonesian reputation,repost fromwaketum perindo party in the field of election ferry kurnia rizkiyansyah highlighted the colutive elections which were colored by nepotism and violated the law and constitution according to him this must be dealt with as an effort to maintain indonesian reputation,repost fromwaketum perindo party field election ferry kurnia rizkiyansyah highlighted colutive elections colored nepotism violated law constitution according must dealt effort maintain indonesian reputation,"['repost', 'fromwaketum', 'perindo', 'party', 'field', 'election', 'ferry', 'kurnia', 'rizkiyansyah', 'highlighted', 'colutive', 'elections', 'colored', 'nepotism', 'violated', 'law', 'constitution', 'according', 'must', 'dealt', 'effort', 'maintain', 'indonesian', 'reputation']","['repost', 'fromwaketum', 'perindo', 'parti', 'field', 'elect', 'ferri', 'kurnia', 'rizkiyansyah', 'highlight', 'colut', 'elect', 'color', 'nepot', 'violat', 'law', 'constitut', 'accord', 'must', 'dealt', 'effort', 'maintain', 'indonesian', 'reput']",repost fromwaketum perindo parti field elect ferri kurnia rizkiyansyah highlight colut elect color nepot violat law constitut accord must dealt effort maintain indonesian reput,positive,0.9999994
Mon Mar 25 08:48:00 +0000 2024,perindo,Repost dari @partaiperindo Waketum Partai Perindo Bidang Pemilu Ferry Kurnia Rizkiyansyah menyoroti Pemilu 2024 yang kolutif diwarnai nepotisme serta melanggar hukum dan konstitusi Menurutnya ini harus ditindak sebagai upaya menjaga reputasi Indonesia #PerindoUpdate https://t.co/cBqPygqQU4,Repost from @partaiperindo Waketum Perindo Party in the field of Election Ferry Kurnia Rizkiyansyah highlighted the colutive elections that were colored by nepotism and violating the law and constitution according to him must be dealt with as an effort to maintain the reputation of Indonesia,Repost fromWaketum Perindo Party in the field of Election Ferry Kurnia Rizkiyansyah highlighted the colutive elections that were colored by nepotism and violating the law and constitution according to him must be dealt with as an effort to maintain the reputation of Indonesia,repost fromwaketum perindo party in the field of election ferry kurnia rizkiyansyah highlighted the colutive elections that were colored by nepotism and violating the law and constitution according to him must be dealt with as an effort to maintain the reputation of indonesia,repost fromwaketum perindo party field election ferry kurnia rizkiyansyah highlighted colutive elections colored nepotism violating law constitution according must dealt effort maintain reputation indonesia,"['repost', 'fromwaketum', 'perindo', 'party', 'field', 'election', 'ferry', 'kurnia', 'rizkiyansyah', 'highlighted', 'colutive', 'elections', 'colored', 'nepotism', 'violating', 'law', 'constitution', 'according', 'must', 'dealt', 'effort', 'maintain', 'reputation', 'indonesia']","['repost', 'fromwaketum', 'perindo', 'parti', 'field', 'elect', 'ferri', 'kurnia', 'rizkiyansyah', 'highlight', 'colut', 'elect', 'color', 'nepot', 'violat', 'law', 'constitut', 'accord', 'must', 'dealt', 'effort', 'maintain', 'reput', 'indonesia']",repost fromwaketum perindo parti field elect ferri kurnia rizkiyansyah highlight colut elect color nepot violat law constitut accord must dealt effort maintain reput indonesia,positive,0.99999905
Mon Mar 25 08:48:00 +0000 2024,perindo,Repost dari @partaiperindo Waketum Partai Perindo Bidang Pemilu Ferry Kurnia Rizkiyansyah menyoroti Pemilu 2024 yang kolutif diwarnai nepotisme serta melanggar hukum dan konstitusi Menurutnya ini harus ditindak sebagai upaya menjaga reputasi Indonesia #PerindoUpdate https://t.co/drOFfDmsvv,Repost from @partaiperindo Waketum Perindo Party in the field of Election Ferry Kurnia Rizkiyansyah highlighted the colutive elections that were colored by nepotism and violated the law and constitution according to him this must be dealt with as an effort to maintain the reputation of Indonesia,Repost fromWaketum Perindo Party in the field of Election Ferry Kurnia Rizkiyansyah highlighted the colutive elections that were colored by nepotism and violated the law and constitution according to him this must be dealt with as an effort to maintain the reputation of Indonesia,repost fromwaketum perindo party in the field of election ferry kurnia rizkiyansyah highlighted the colutive elections that were colored by nepotism and violated the law and constitution according to him this must be dealt with as an effort to maintain the reputation of indonesia,repost fromwaketum perindo party field election ferry kurnia rizkiyansyah highlighted colutive elections colored nepotism violated law constitution according must dealt effort maintain reputation indonesia,"['repost', 'fromwaketum', 'perindo', 'party', 'field', 'election', 'ferry', 'kurnia', 'rizkiyansyah', 'highlighted', 'colutive', 'elections', 'colored', 'nepotism', 'violated', 'law', 'constitution', 'according', 'must', 'dealt', 'effort', 'maintain', 'reputation', 'indonesia']","['repost', 'fromwaketum', 'perindo', 'parti', 'field', 'elect', 'ferri', 'kurnia', 'rizkiyansyah', 'highlight', 'colut', 'elect', 'color', 'nepot', 'violat', 'law', 'constitut', 'accord', 'must', 'dealt', 'effort', 'maintain', 'reput', 'indonesia']",repost fromwaketum perindo parti field elect ferri kurnia rizkiyansyah highlight colut elect color nepot violat law constitut accord must dealt effort maintain reput indonesia,positive,0.99999905
Mon Mar 25 08:41:37 +0000 2024,perindo,@lezgetitbribrii Perindo/oskadon dan para selir2nya doun jadi nambah 120000 HAHAHAHA,@lezgetitbribrii Perindo/Oskadon and the concubines doun add 120000 hahahaha,Perindo Oskadon and the concubines doun add  hahahaha,perindo oskadon and the concubines doun add  hahahaha,perindo oskadon concubines doun add hahahaha,"['perindo', 'oskadon', 'concubines', 'doun', 'add', 'hahahaha']","['perindo', 'oskadon', 'concubin', 'doun', 'add', 'hahahaha']",perindo oskadon concubin doun add hahahaha,negative,6.46E-05
Mon Mar 25 08:31:58 +0000 2024,perindo,@MARQUEZ__93 @PDemokrat kutukan 16% akibat Ganjar yg pakai strategi kebencian dan pencitraan berlebihan tidak saja kena ke PDIP tapi juga ke semua partai koalisinya yaitu PPP Perindo Hanura yg tidak lolos ke Senayan ini boleh jadi Kutukan paling ngeri dlm sejarah politik RI.. harus ruwatan.,"@Marquez__93 @pdemocratic curse 16% due to Ganjar who uses the strategy of hatred and excessive imaging not only got into PDIP but also to all coalition parties, namely PPP Perindo Hanura who did not qualify for Senayan this could be the most horrified curse in the political history of the Republic of Indonesia .. must be ruwatan.",curse  due to Ganjar who uses the strategy of hatred and excessive imaging not only got into PDIP but also to all coalition parties namely PPP Perindo Hanura who did not qualify for Senayan this could be the most horrified curse in the political history of the Republic of Indonesia must be ruwatan,curse  due to ganjar who uses the strategy of hatred and excessive imaging not only got into pdip but also to all coalition parties namely ppp perindo hanura who did not qualify for senayan this could be the most horrified curse in the political history of the republic of indonesia must be ruwatan,curse due ganjar uses strategy hatred excessive imaging got pdip also coalition parties namely ppp perindo hanura qualify senayan could horrified curse political history republic indonesia must ruwatan,"['curse', 'due', 'ganjar', 'uses', 'strategy', 'hatred', 'excessive', 'imaging', 'got', 'pdip', 'also', 'coalition', 'parties', 'namely', 'ppp', 'perindo', 'hanura', 'qualify', 'senayan', 'could', 'horrified', 'curse', 'political', 'history', 'republic', 'indonesia', 'must', 'ruwatan']","['curs', 'due', 'ganjar', 'use', 'strategi', 'hatr', 'excess', 'imag', 'got', 'pdip', 'also', 'coalit', 'parti', 'name', 'ppp', 'perindo', 'hanura', 'qualifi', 'senayan', 'could', 'horrifi', 'curs', 'polit', 'histori', 'republ', 'indonesia', 'must', 'ruwatan']",curs due ganjar use strategi hatr excess imag got pdip also coalit parti name ppp perindo hanura qualifi senayan could horrifi curs polit histori republ indonesia must ruwatan,positive,0.9999948
Mon Mar 25 08:02:56 +0000 2024,perindo,Repost dari @partaiperindo Partai Perindo tolak hasil Pemilu 2024 Hak Angket dan MK jalan mencari keadilan #PerindoUpdate #PartaiPerindo #Perindo #Pemilu2024 #Pileg2024 #HakAngket #TolakHasilPemilu https://t.co/XZtVKgQs9v,Repost from @partaiperindo Perindo Party Rejects Election Results 2024 Questionnaire Rights and MK Way to seek justice #PARIPDATE #PARTAIPERINDO #PERINDO #Election2024 #Pileg2024 #Hakangket #Tolakhasil Pemilu https://t.co/xztvkgqs9v,Repost fromPerindo Party Rejects Election Results  Questionnaire Rights and MK Way to seek justice PARIPDATE PARTAIPERINDO PERINDO Election Pileg Hakangket Tolakhasil Pemilu https t co xztvkgqsv,repost fromperindo party rejects election results  questionnaire rights and mk way to seek justice paripdate partaiperindo perindo election pileg hakangket tolakhasil pemilu https t co xztvkgqsv,repost fromperindo party rejects election results questionnaire rights mk way seek justice paripdate partaiperindo perindo election pileg hakangket tolakhasil pemilu https co xztvkgqsv,"['repost', 'fromperindo', 'party', 'rejects', 'election', 'results', 'questionnaire', 'rights', 'mk', 'way', 'seek', 'justice', 'paripdate', 'partaiperindo', 'perindo', 'election', 'pileg', 'hakangket', 'tolakhasil', 'pemilu', 'https', 'co', 'xztvkgqsv']","['repost', 'fromperindo', 'parti', 'reject', 'elect', 'result', 'questionnair', 'right', 'mk', 'way', 'seek', 'justic', 'paripd', 'partaiperindo', 'perindo', 'elect', 'pileg', 'hakangket', 'tolakhasil', 'pemilu', 'http', 'co', 'xztvkgqsv']",repost fromperindo parti reject elect result questionnair right mk way seek justic paripd partaiperindo perindo elect pileg hakangket tolakhasil pemilu http co xztvkgqsv,positive,0.99999815
Mon Mar 25 08:01:35 +0000 2024,perindo,Repost dari @partaiperindo Partai Perindo tolak hasil Pemilu 2024 Hak Angket dan MK jalan mencari keadilan #PerindoUpdate #PartaiPerindo #Perindo #Pemilu2024 #Pileg2024 #HakAngket #TolakHasilPemilu https://t.co/h7YRUTZTR2,Repost from @partaiperindo Perindo Party Rejects Election Results 2024 Questionnaire Rights and MK Way to seek justice #PARIPOUPDATE #PARTAIPERINDO #PERINDO #Election2024 #Pileg2024 #Hakangket #Tolashasilpemilu https://t.co/h7yrutztr2,Repost fromPerindo Party Rejects Election Results  Questionnaire Rights and MK Way to seek justice PARIPOUPDATE PARTAIPERINDO PERINDO Election Pileg Hakangket Tolashasilpemilu https t co hyrutztr,repost fromperindo party rejects election results  questionnaire rights and mk way to seek justice paripoupdate partaiperindo perindo election pileg hakangket tolashasilpemilu https t co hyrutztr,repost fromperindo party rejects election results questionnaire rights mk way seek justice paripoupdate partaiperindo perindo election pileg hakangket tolashasilpemilu https co hyrutztr,"['repost', 'fromperindo', 'party', 'rejects', 'election', 'results', 'questionnaire', 'rights', 'mk', 'way', 'seek', 'justice', 'paripoupdate', 'partaiperindo', 'perindo', 'election', 'pileg', 'hakangket', 'tolashasilpemilu', 'https', 'co', 'hyrutztr']","['repost', 'fromperindo', 'parti', 'reject', 'elect', 'result', 'questionnair', 'right', 'mk', 'way', 'seek', 'justic', 'paripoupd', 'partaiperindo', 'perindo', 'elect', 'pileg', 'hakangket', 'tolashasilpemilu', 'http', 'co', 'hyrutztr']",repost fromperindo parti reject elect result questionnair right mk way seek justic paripoupd partaiperindo perindo elect pileg hakangket tolashasilpemilu http co hyrutztr,positive,0.9999986
Mon Mar 25 07:59:35 +0000 2024,perindo,Repost dari @partaiperindo Partai Perindo tolak hasil Pemilu 2024 Hak Angket dan MK jalan mencari keadilan #PerindoUpdate #PartaiPerindo #Perindo #Pemilu2024 #Pileg2024 #HakAngket #TolakHasilPemilu https://t.co/KwT0tA0WZB,Repost from @partaiperindo Perindo Party Rejects Election Results 2024 Questionnaire Rights and MK Way to seek justice #PARIPOUPDATE #Partaiperindo #PERINDO #Election2024 #Pileg2024 #Hakangket #Tolakhasil Pemilu https://t.co/kwt0ta0wzb,Repost fromPerindo Party Rejects Election Results  Questionnaire Rights and MK Way to seek justice PARIPOUPDATE Partaiperindo PERINDO Election Pileg Hakangket Tolakhasil Pemilu https t co kwttawzb,repost fromperindo party rejects election results  questionnaire rights and mk way to seek justice paripoupdate partaiperindo perindo election pileg hakangket tolakhasil pemilu https t co kwttawzb,repost fromperindo party rejects election results questionnaire rights mk way seek justice paripoupdate partaiperindo perindo election pileg hakangket tolakhasil pemilu https co kwttawzb,"['repost', 'fromperindo', 'party', 'rejects', 'election', 'results', 'questionnaire', 'rights', 'mk', 'way', 'seek', 'justice', 'paripoupdate', 'partaiperindo', 'perindo', 'election', 'pileg', 'hakangket', 'tolakhasil', 'pemilu', 'https', 'co', 'kwttawzb']","['repost', 'fromperindo', 'parti', 'reject', 'elect', 'result', 'questionnair', 'right', 'mk', 'way', 'seek', 'justic', 'paripoupd', 'partaiperindo', 'perindo', 'elect', 'pileg', 'hakangket', 'tolakhasil', 'pemilu', 'http', 'co', 'kwttawzb']",repost fromperindo parti reject elect result questionnair right mk way seek justic paripoupd partaiperindo perindo elect pileg hakangket tolakhasil pemilu http co kwttawzb,positive,0.99999374
Mon Mar 25 07:58:06 +0000 2024,perindo,Repost dari @partaiperindo Partai Perindo tolak hasil Pemilu 2024 Hak Angket dan MK jalan mencari keadilan #PerindoUpdate #PartaiPerindo #Perindo #Pemilu2024 #Pileg2024 #HakAngket #TolakHasilPemilu https://t.co/alIpGBt9zZ,Repost from @partaiperindo Perindo Party Rejects Election Results 2024 Questionnaire Rights and MK Way to seek justice #PARIPDATE #Partaiperindo #PERINDO #Election2024 #Pileg2024 #Hakangket #Tolashasilpemilu https://t.co/alipgbt9zz,Repost fromPerindo Party Rejects Election Results  Questionnaire Rights and MK Way to seek justice PARIPDATE Partaiperindo PERINDO Election Pileg Hakangket Tolashasilpemilu https t co alipgbtzz,repost fromperindo party rejects election results  questionnaire rights and mk way to seek justice paripdate partaiperindo perindo election pileg hakangket tolashasilpemilu https t co alipgbtzz,repost fromperindo party rejects election results questionnaire rights mk way seek justice paripdate partaiperindo perindo election pileg hakangket tolashasilpemilu https co alipgbtzz,"['repost', 'fromperindo', 'party', 'rejects', 'election', 'results', 'questionnaire', 'rights', 'mk', 'way', 'seek', 'justice', 'paripdate', 'partaiperindo', 'perindo', 'election', 'pileg', 'hakangket', 'tolashasilpemilu', 'https', 'co', 'alipgbtzz']","['repost', 'fromperindo', 'parti', 'reject', 'elect', 'result', 'questionnair', 'right', 'mk', 'way', 'seek', 'justic', 'paripd', 'partaiperindo', 'perindo', 'elect', 'pileg', 'hakangket', 'tolashasilpemilu', 'http', 'co', 'alipgbtzz']",repost fromperindo parti reject elect result questionnair right mk way seek justic paripd partaiperindo perindo elect pileg hakangket tolashasilpemilu http co alipgbtzz,positive,0.9999993
