created_at,keyword,full_text,translate,clean_tweet,lower,stopword,tokenize,stemmed,clean,predicted_label,predicted
Mon Mar 25 22:16:39 +0000 2024,ppp,@KompasTV Ini nsmanya melipir harusnya bandingkan dengan Demokrat pada saat kasus Hambalang PKS dengan kasus Sapi PPP drop suaranya karena Korupsi juga itu faktanya.,@Kompastv This NSMA will be comparison with Democrats when the PKS Hambalang case with the PPP Cow Drop case because corruption is also the fact.,This NSMA will be comparison with Democrats when the PKS Hambalang case with the PPP Cow Drop case because corruption is also the fact,this nsma will be comparison with democrats when the pks hambalang case with the ppp cow drop case because corruption is also the fact,nsma comparison democrats pks hambalang case ppp cow drop case corruption also fact,"['nsma', 'comparison', 'democrats', 'pks', 'hambalang', 'case', 'ppp', 'cow', 'drop', 'case', 'corruption', 'also', 'fact']","['nsma', 'comparison', 'democrat', 'pk', 'hambalang', 'case', 'ppp', 'cow', 'drop', 'case', 'corrupt', 'also', 'fact']",nsma comparison democrat pk hambalang case ppp cow drop case corrupt also fact,positive,1
Mon Mar 25 22:16:32 +0000 2024,ppp,@wasif24664048 @HMawan13 @enkidureborn @SabirAwan Matlb kay tu keh raha hai punjab sindh mein dhandli ni hui?? Mein sirf tera bugz-e-imran check kar raha huun is sawal say.. bbc chutia hai jisnay.. economist ko wasif munir say puch kay mandate thieves bolna chahiye tha pmln aur ppp ko.. haina??,@wasif24664048 @hmawan13 @enkidureborn @sabirawan matlb kay tu raha hai punjab sindh mein dhandli ni hui ??Mein SIRF Tera Bugz-E-Imran Check Kara Raha Huun is Sawal Say .. BBC Chutia Hai Jisnay .. Economist Ko Wasif Munir Say Puch Kay Mandate Thieves Bolna Chahiye Tha Pmln Aur Ppp Ko .. Haina ??,matlb kay tu raha hai punjab sindh mein dhandli ni hui Mein SIRF Tera Bugz E Imran Check Kara Raha Huun is Sawal Say BBC Chutia Hai Jisnay Economist Ko Wasif Munir Say Puch Kay Mandate Thieves Bolna Chahiye Tha Pmln Aur Ppp Ko Haina,matlb kay tu raha hai punjab sindh mein dhandli ni hui mein sirf tera bugz e imran check kara raha huun is sawal say bbc chutia hai jisnay economist ko wasif munir say puch kay mandate thieves bolna chahiye tha pmln aur ppp ko haina,matlb kay tu raha hai punjab sindh mein dhandli ni hui mein sirf tera bugz e imran check kara raha huun sawal say bbc chutia hai jisnay economist ko wasif munir say puch kay mandate thieves bolna chahiye tha pmln aur ppp ko haina,"['matlb', 'kay', 'tu', 'raha', 'hai', 'punjab', 'sindh', 'mein', 'dhandli', 'ni', 'hui', 'mein', 'sirf', 'tera', 'bugz', 'e', 'imran', 'check', 'kara', 'raha', 'huun', 'sawal', 'say', 'bbc', 'chutia', 'hai', 'jisnay', 'economist', 'ko', 'wasif', 'munir', 'say', 'puch', 'kay', 'mandate', 'thieves', 'bolna', 'chahiye', 'tha', 'pmln', 'aur', 'ppp', 'ko', 'haina']","['matlb', 'kay', 'tu', 'raha', 'hai', 'punjab', 'sindh', 'mein', 'dhandli', 'ni', 'hui', 'mein', 'sirf', 'tera', 'bugz', 'e', 'imran', 'check', 'kara', 'raha', 'huun', 'sawal', 'say', 'bbc', 'chutia', 'hai', 'jisnay', 'economist', 'ko', 'wasif', 'munir', 'say', 'puch', 'kay', 'mandat', 'thiev', 'bolna', 'chahiy', 'tha', 'pmln', 'aur', 'ppp', 'ko', 'haina']",matlb kay tu raha hai punjab sindh mein dhandli ni hui mein sirf tera bugz e imran check kara raha huun sawal say bbc chutia hai jisnay economist ko wasif munir say puch kay mandat thiev bolna chahiy tha pmln aur ppp ko haina,positive,1
Mon Mar 25 22:15:58 +0000 2024,ppp,@MTaufiq_NTB @PDemokrat Yang lain kursi pada naik hanya PD dan PPP yang turun,@Mtaufiq_ntb @pdemokrat the other chairs on the rise only PD and PPP who dropped,the other chairs on the rise only PD and PPP who dropped,the other chairs on the rise only pd and ppp who dropped,chairs rise pd ppp dropped,"['chairs', 'rise', 'pd', 'ppp', 'dropped']","['chair', 'rise', 'pd', 'ppp', 'drop']",chair rise pd ppp drop,negative,0.000104047
Mon Mar 25 22:14:25 +0000 2024,ppp,@ferrykoto @DPP_PPP strategi kader2 fuckaes branak sebanyak banyaknya ternyata efektif ya minimal utk 17 tahun kedepan akan terlihat hasilnya pantesan doyan VOLLEYGUMMY,"@ferrykoto @dpp_ppp Fuckaes Branak cadre strategies turned out to be effective, at least the next 17 years will be seen the results are fond of Volleygummy",Fuckaes Branak cadre strategies turned out to be effective at least the next  years will be seen the results are fond of Volleygummy,fuckaes branak cadre strategies turned out to be effective at least the next  years will be seen the results are fond of volleygummy,fuckaes branak cadre strategies turned effective least next years seen results fond volleygummy,"['fuckaes', 'branak', 'cadre', 'strategies', 'turned', 'effective', 'least', 'next', 'years', 'seen', 'results', 'fond', 'volleygummy']","['fucka', 'branak', 'cadr', 'strategi', 'turn', 'effect', 'least', 'next', 'year', 'seen', 'result', 'fond', 'volleygummi']",fucka branak cadr strategi turn effect least next year seen result fond volleygummi,positive,0.9999805
Mon Mar 25 22:13:14 +0000 2024,ppp,@ajengcute16__ Siapa yg dihukum RAKYAT DEMOKRAT hilang 10 kursi HANURA gagal PPP absen HANURA apalagi Yg nambah Kursi di SENAYAN PKB Nambah PKS apalagi 10 kursi NASDEM melaju,@ajengcute16__ Who was punished by the people of Democrats missing 10 Hanura seats failed PPP absent hanura especially those who added seats in Senayan PKB added PKS especially 10 NasDem seats on,Who was punished by the people of Democrats missing  Hanura seats failed PPP absent hanura especially those who added seats in Senayan PKB added PKS especially  NasDem seats on,who was punished by the people of democrats missing  hanura seats failed ppp absent hanura especially those who added seats in senayan pkb added pks especially  nasdem seats on,punished people democrats missing hanura seats failed ppp absent hanura especially added seats senayan pkb added pks especially nasdem seats,"['punished', 'people', 'democrats', 'missing', 'hanura', 'seats', 'failed', 'ppp', 'absent', 'hanura', 'especially', 'added', 'seats', 'senayan', 'pkb', 'added', 'pks', 'especially', 'nasdem', 'seats']","['punish', 'peopl', 'democrat', 'miss', 'hanura', 'seat', 'fail', 'ppp', 'absent', 'hanura', 'especi', 'ad', 'seat', 'senayan', 'pkb', 'ad', 'pk', 'especi', 'nasdem', 'seat']",punish peopl democrat miss hanura seat fail ppp absent hanura especi ad seat senayan pkb ad pk especi nasdem seat,positive,0.9999999
Mon Mar 25 22:12:05 +0000 2024,ppp,@ferrykoto @DPP_PPP Apalagi kalau dari tambahan istri,@ferrykoto @dpp_pppp especially if from additional wife,especially if from additional wife,especially if from additional wife,especially additional wife,"['especially', 'additional', 'wife']","['especi', 'addit', 'wife']",especi addit wife,negative,5.31E-07
Mon Mar 25 22:09:02 +0000 2024,ppp,@Ahmadboskaa @ichsan_dahrul @ferrykoto @DPP_PPP Kotok di sunda sama dengan taik ayam mas..,@Ahmadboskaa @ichsan_dahrul @ferrykoto @dpp_ppp kotok in Sunda is the same as taik chicken mas ..,kotok in Sunda is the same as taik chicken mas,kotok in sunda is the same as taik chicken mas,kotok sunda taik chicken mas,"['kotok', 'sunda', 'taik', 'chicken', 'mas']","['kotok', 'sunda', 'taik', 'chicken', 'ma']",kotok sunda taik chicken ma,positive,1
Mon Mar 25 22:07:28 +0000 2024,ppp,@ferrykoto @DPP_PPP Meuni kieu2 teuing neangan duit teh,@ferrykoto @dpp_pppp meuni kieu2 teuing neangan money tea,meuni kieu teuing neangan money tea,meuni kieu teuing neangan money tea,meuni kieu teuing neangan money tea,"['meuni', 'kieu', 'teuing', 'neangan', 'money', 'tea']","['meuni', 'kieu', 'teu', 'neangan', 'money', 'tea']",meuni kieu teu neangan money tea,positive,0.9999579
Mon Mar 25 22:04:14 +0000 2024,ppp,@tvOneNews Kalau terus begini demokrat akan menyusul PPP,@tvonews if it continues like this Democrats will follow PPP,if it continues like this Democrats will follow PPP,if it continues like this democrats will follow ppp,continues like democrats follow ppp,"['continues', 'like', 'democrats', 'follow', 'ppp']","['continu', 'like', 'democrat', 'follow', 'ppp']",continu like democrat follow ppp,positive,0.99992555
Mon Mar 25 22:03:34 +0000 2024,ppp,@MichelAdam7__ @ElfizaEnny Contoh udah banyak lihat ppp dll.bonyok,@Micheladam7__ @elfizaenny Examples have seen a lot of PPP etc.boneok,Examples have seen a lot of PPP etc boneok,examples have seen a lot of ppp etc boneok,examples seen lot ppp etc boneok,"['examples', 'seen', 'lot', 'ppp', 'etc', 'boneok']","['exampl', 'seen', 'lot', 'ppp', 'etc', 'boneok']",exampl seen lot ppp etc boneok,negative,0.011438994
Mon Mar 25 22:02:28 +0000 2024,ppp,There is relation between election 1970 and 1924 in pakistan. It created polarization ppp in Sindh PMLN in Punjab PTI in kherber pakhton Mix in Balochistan Imran Khan resembles mujeeb Rehman PTI resembles muktibani At place of Bengali are pashtoon. Distance b/w army and nation,There is relations between 1970 and 1924 in Pakistan.It created polarization ppp in sindh pmln in punjab pti in kherber pakton mix in balochistan imran khan mujeeb rehman rehman patirebles muktibani at place of bengali are pashtoon.Distance B/W Army and Nation,There is relations between  and  in Pakistan It created polarization ppp in sindh pmln in punjab pti in kherber pakton mix in balochistan imran khan mujeeb rehman rehman patirebles muktibani at place of bengali are pashtoon Distance B W Army and Nation,there is relations between  and  in pakistan it created polarization ppp in sindh pmln in punjab pti in kherber pakton mix in balochistan imran khan mujeeb rehman rehman patirebles muktibani at place of bengali are pashtoon distance b w army and nation,relations pakistan created polarization ppp sindh pmln punjab pti kherber pakton mix balochistan imran khan mujeeb rehman rehman patirebles muktibani place bengali pashtoon distance b w army nation,"['relations', 'pakistan', 'created', 'polarization', 'ppp', 'sindh', 'pmln', 'punjab', 'pti', 'kherber', 'pakton', 'mix', 'balochistan', 'imran', 'khan', 'mujeeb', 'rehman', 'rehman', 'patirebles', 'muktibani', 'place', 'bengali', 'pashtoon', 'distance', 'b', 'w', 'army', 'nation']","['relat', 'pakistan', 'creat', 'polar', 'ppp', 'sindh', 'pmln', 'punjab', 'pti', 'kherber', 'pakton', 'mix', 'balochistan', 'imran', 'khan', 'mujeeb', 'rehman', 'rehman', 'patirebl', 'muktibani', 'place', 'bengali', 'pashtoon', 'distanc', 'b', 'w', 'armi', 'nation']",relat pakistan creat polar ppp sindh pmln punjab pti kherber pakton mix balochistan imran khan mujeeb rehman rehman patirebl muktibani place bengali pashtoon distanc b w armi nation,positive,0.9995995
Mon Mar 25 22:00:31 +0000 2024,ppp,@ichsan_dahrul @ferrykoto @DPP_PPP Dia bukan kotok tapi katak,@ichsan_dahrul @ferrykoto @dpp_ppp he is not kotok but a frog,he is not kotok but a frog,he is not kotok but a frog,kotok frog,"['kotok', 'frog']","['kotok', 'frog']",kotok frog,negative,0.18057331
Mon Mar 25 21:57:54 +0000 2024,ppp,@ferrykoto @DPP_PPP Hallo pak @ferrykoto apakah 2 5 sudah sampai???,@ferrykoto @dpp_pppp hello sir @ferrykoto whether 2 5 has arrived ???,hello sir whether   has arrived,hello sir whether   has arrived,hello sir whether arrived,"['hello', 'sir', 'whether', 'arrived']","['hello', 'sir', 'whether', 'arriv']",hello sir whether arriv,negative,0.08405096
Mon Mar 25 21:54:29 +0000 2024,ppp,@ajengcute16__ Cuma org bego yg gak paham arti 'KEHILANGAN 10 KURSI'. Pileg 2029 mngkn Demokrat akan nyusul PPP ,@ajengcute16__ Only people who don't understand the meaning of 'losing 10 chairs'.Pileg 2029 MNGKN Democrats will follow PPP,Only people who don t understand the meaning of losing  chairs Pileg  MNGKN Democrats will follow PPP,only people who don t understand the meaning of losing  chairs pileg  mngkn democrats will follow ppp,people understand meaning losing chairs pileg mngkn democrats follow ppp,"['people', 'understand', 'meaning', 'losing', 'chairs', 'pileg', 'mngkn', 'democrats', 'follow', 'ppp']","['peopl', 'understand', 'mean', 'lose', 'chair', 'pileg', 'mngkn', 'democrat', 'follow', 'ppp']",peopl understand mean lose chair pileg mngkn democrat follow ppp,negative,4.74E-06
Mon Mar 25 21:53:54 +0000 2024,ppp,@diesaster24 Saya tulis tentang ini di buku saya Pandemi Pembelah Peradaban (PPP),@Diesaster24 I wrote about this in my book Pandemi Glashes of Civilization (PPP),I wrote about this in my book Pandemi Glashes of Civilization PPP,i wrote about this in my book pandemi glashes of civilization ppp,wrote book pandemi glashes civilization ppp,"['wrote', 'book', 'pandemi', 'glashes', 'civilization', 'ppp']","['wrote', 'book', 'pandemi', 'glash', 'civil', 'ppp']",wrote book pandemi glash civil ppp,positive,0.99999994
Mon Mar 25 21:52:41 +0000 2024,ppp,@ferrykoto @DPP_PPP Demokrat beruntung utk pemilu berikutnya gak ada aturan 4% klo masih bisa2 terdepak sih,@ferrykoto @dpp_ppp Democrat is lucky for the next election there is no 4% rule if it can still be kicked out,Democrat is lucky for the next election there is no  rule if it can still be kicked out,democrat is lucky for the next election there is no  rule if it can still be kicked out,democrat lucky next election rule still kicked,"['democrat', 'lucky', 'next', 'election', 'rule', 'still', 'kicked']","['democrat', 'lucki', 'next', 'elect', 'rule', 'still', 'kick']",democrat lucki next elect rule still kick,positive,0.9999573
Mon Mar 25 21:48:41 +0000 2024,ppp,@ferrykoto @DPP_PPP Iko se urang awak kecek analisa sarawa kotok lambuik..! Kudoklah granat itu tuk ang fer..!,@ferrykoto @dpp_ppp iko se urang crew acts Sarawa Kotok Lambuik Analysis ..!Kudoklah that grenade for Ang Fer ..!,iko se urang crew acts Sarawa Kotok Lambuik Analysis Kudoklah that grenade for Ang Fer,iko se urang crew acts sarawa kotok lambuik analysis kudoklah that grenade for ang fer,iko urang crew acts sarawa kotok lambuik analysis kudoklah grenade ang fer,"['iko', 'urang', 'crew', 'acts', 'sarawa', 'kotok', 'lambuik', 'analysis', 'kudoklah', 'grenade', 'ang', 'fer']","['iko', 'urang', 'crew', 'act', 'sarawa', 'kotok', 'lambuik', 'analysi', 'kudoklah', 'grenad', 'ang', 'fer']",iko urang crew act sarawa kotok lambuik analysi kudoklah grenad ang fer,positive,1
Mon Mar 25 20:41:43 +0000 2024,ppp,Hasto Sarankan PPP Fokus Perjuangkan Suaranya https://t.co/3ocfHQYVJ8,Hasto Suggest PPP focus on his voice https://t.co/3ocfhqyvj8,Hasto Suggest PPP focus on his voice https t co ocfhqyvj,hasto suggest ppp focus on his voice https t co ocfhqyvj,hasto suggest ppp focus voice https co ocfhqyvj,"['hasto', 'suggest', 'ppp', 'focus', 'voice', 'https', 'co', 'ocfhqyvj']","['hasto', 'suggest', 'ppp', 'focu', 'voic', 'http', 'co', 'ocfhqyvj']",hasto suggest ppp focu voic http co ocfhqyvj,positive,0.99998957
Mon Mar 25 20:37:31 +0000 2024,ppp,@AlnilamOmar Arsul Sani orang PPP...Di PPP pula ada Pembantu presiden... sandiuno. Moga aja ybs Amanah bersama rakyat pemilih 01 dan 03 . Salam 4 jari.,@Alnilamomar Arsul Sani PPP people ... In PPP there is also a Presidential Assistant ... Sandiuno.I hope that the trustworthy with the voters 01 and 03.Greetings 4 fingers.,Arsul Sani PPP people In PPP there is also a Presidential Assistant Sandiuno I hope that the trustworthy with the voters  and  Greetings  fingers,arsul sani ppp people in ppp there is also a presidential assistant sandiuno i hope that the trustworthy with the voters  and  greetings  fingers,arsul sani ppp people ppp also presidential assistant sandiuno hope trustworthy voters greetings fingers,"['arsul', 'sani', 'ppp', 'people', 'ppp', 'also', 'presidential', 'assistant', 'sandiuno', 'hope', 'trustworthy', 'voters', 'greetings', 'fingers']","['arsul', 'sani', 'ppp', 'peopl', 'ppp', 'also', 'presidenti', 'assist', 'sandiuno', 'hope', 'trustworthi', 'voter', 'greet', 'finger']",arsul sani ppp peopl ppp also presidenti assist sandiuno hope trustworthi voter greet finger,positive,1
Mon Mar 25 20:29:46 +0000 2024,ppp,@IqbalSandh @BBhuttoZardari @BakhtawarBZ @AseefaBZ @FaryalTalpurPk @JunaidSaleemJD Mashaallah Great ada,@Iqbalsandh @bbhuttozardari @bakhtawarbz @aseefabz @farayaltalpurpk @junaidsaleemjd mashaallah great,mashaallah great,mashaallah great,mashaallah great,"['mashaallah', 'great']","['mashaallah', 'great']",mashaallah great,negative,1.31E-05
Mon Mar 25 20:28:00 +0000 2024,ppp,@ferrykoto @DPP_PPP Tolong medical check up dulu pak siapa tau hatinya bermasalah,@ferrykoto @dpp_pppp please medical check -up first sir who knows his heart is problematic,please medical check up first sir who knows his heart is problematic,please medical check up first sir who knows his heart is problematic,please medical check first sir knows heart problematic,"['please', 'medical', 'check', 'first', 'sir', 'knows', 'heart', 'problematic']","['pleas', 'medic', 'check', 'first', 'sir', 'know', 'heart', 'problemat']",pleas medic check first sir know heart problemat,positive,1
Mon Mar 25 20:25:48 +0000 2024,ppp,@kumparan Sejarah Akan Mencatat bahwa PaK Hasto/PDIP bela PPP,@Historical Middle will note that Pak Hasto/PDIP Bela PPP,Middle will note that Pak Hasto PDIP Bela PPP,middle will note that pak hasto pdip bela ppp,middle note hasto pdip bela ppp,"['middle', 'note', 'hasto', 'pdip', 'bela', 'ppp']","['middl', 'note', 'hasto', 'pdip', 'bela', 'ppp']",middl note hasto pdip bela ppp,negative,0.000541517
Mon Mar 25 20:19:58 +0000 2024,ppp,Pake ppp abis itu ditimpa liptint plumpynya tahan 2-3 jam,Using ppp after that was overwritten by the plumpy liptint hold 2-3 hours,Using ppp after that was overwritten by the plumpy liptint hold   hours,using ppp after that was overwritten by the plumpy liptint hold   hours,using ppp overwritten plumpy liptint hold hours,"['using', 'ppp', 'overwritten', 'plumpy', 'liptint', 'hold', 'hours']","['use', 'ppp', 'overwritten', 'plumpi', 'liptint', 'hold', 'hour']",use ppp overwritten plumpi liptint hold hour,positive,0.97230375
Mon Mar 25 20:17:16 +0000 2024,ppp,Rezim Jokowi Dinilai Ingin Hilangkan PPP Sekjen PDIP: Ini Operasi Politik yang Luar Biasa https://t.co/n8ayNvMwBR,Jokowi's regime is considered to want to eliminate PPP PDIP Secretary General: this is an extraordinary political operation https://t.co/8aynvmwbr,Jokowi s regime is considered to want to eliminate PPP PDIP Secretary General this is an extraordinary political operation https t co aynvmwbr,jokowi s regime is considered to want to eliminate ppp pdip secretary general this is an extraordinary political operation https t co aynvmwbr,jokowi regime considered want eliminate ppp pdip secretary general extraordinary political operation https co aynvmwbr,"['jokowi', 'regime', 'considered', 'want', 'eliminate', 'ppp', 'pdip', 'secretary', 'general', 'extraordinary', 'political', 'operation', 'https', 'co', 'aynvmwbr']","['jokowi', 'regim', 'consid', 'want', 'elimin', 'ppp', 'pdip', 'secretari', 'gener', 'extraordinari', 'polit', 'oper', 'http', 'co', 'aynvmwbr']",jokowi regim consid want elimin ppp pdip secretari gener extraordinari polit oper http co aynvmwbr,positive,0.99947613
Mon Mar 25 20:08:57 +0000 2024,ppp,PPP Gagal Melenggang ke DPR RI Kecewa Koalisi dengan PDIP? https://t.co/tk0TLpCbF0,PPP failed to pitch to the Indonesian Parliament disappointed with the coalition with PDIP?https://t.co/tk0tlpcbf0,PPP failed to pitch to the Indonesian Parliament disappointed with the coalition with PDIP https t co tktlpcbf,ppp failed to pitch to the indonesian parliament disappointed with the coalition with pdip https t co tktlpcbf,ppp failed pitch indonesian parliament disappointed coalition pdip https co tktlpcbf,"['ppp', 'failed', 'pitch', 'indonesian', 'parliament', 'disappointed', 'coalition', 'pdip', 'https', 'co', 'tktlpcbf']","['ppp', 'fail', 'pitch', 'indonesian', 'parliament', 'disappoint', 'coalit', 'pdip', 'http', 'co', 'tktlpcbf']",ppp fail pitch indonesian parliament disappoint coalit pdip http co tktlpcbf,positive,0.99999994
