"conversation_id_str","created_at","favorite_count","full_text","id_str","image_url","in_reply_to_screen_name","lang","location","quote_count","reply_count","retweet_count","tweet_url","user_id_str","username"
"1774947886742241496","Mon Apr 01 23:52:07 +0000 2024","2","PDIP Buka Peluang Berkoalisi dengan Gerindra dan Golkar di Pilkada Jatim 2024 https://t.co/KM6BTKZyT6 #Pemilu","1774947886742241496","","","in","Jakarta","0","1","1","https://x.com/liputan6dotcom/status/1774947886742241496","47596019","liputan6dotcom"
"1774756363027247483","Mon Apr 01 23:09:31 +0000 2024","0","@Yga1998174683 @YasmineArina @DidGemoyDieYet @Kimberley_PS08 @proclaro_lover @Ndons_Back @bengkeldodo @99propaganda @Bank_Joee_ @Gerindra Bgtulah cara buzzer anjing ini bekerja brader 1 org bs mempunyai smpe 500 akun dia yg memposting dia yg mengkritik dan dia jg yg menghina https://t.co/ox9UF09KQX","1774937163098124588","https://pbs.twimg.com/media/GKHXyiObEAAJUeU.jpg","Yga1998174683","in","","0","0","0","https://x.com/JhonDonbosco5/status/1774937163098124588","1582438103150923776","JhonDonbosco5"
"1774800683184873739","Mon Apr 01 23:09:00 +0000 2024","1","@kumparan Udah Gerindra pun.. jd urusannya apa lapor Jkw kan bkn ketum jkw mania.. Mustinya lapor Pakprabs aja dih","1774937036254024189","","kumparan","in","Indonesia","0","0","0","https://x.com/Paw11nov/status/1774937036254024189","1591031756723216385","Paw11nov"
"1774931779906163125","Mon Apr 01 22:48:07 +0000 2024","0","Rekapitulasi KPU: PDI Perjuangan Raih Suara Terbanyak Pileg DPR 2024 Disusul Golkar dan Gerindra https://t.co/GFfA1UlvRc","1774931779906163125","","","in","Jakarta, Indonesia","0","0","0","https://x.com/GesuriID/status/1774931779906163125","584835300","GesuriID"
"1774801802569134448","Mon Apr 01 22:40:50 +0000 2024","0","@Gerindra Diburu?","1774929946865267167","","Gerindra","in","OTW Akhirat","0","0","0","https://x.com/Awak_Melah/status/1774929946865267167","865352224368611328","Awak_Melah"
"1774929007550902275","Mon Apr 01 22:37:06 +0000 2024","0","Rekapitulasi KPU: PDI Perjuangan Raih Suara Terbanyak Pileg DPR 2024 Disusul Golkar dan Gerindra https://t.co/eRXX1RgJsX","1774929007550902275","","","in","Jakarta, Indonesia","0","0","0","https://x.com/GesuriID/status/1774929007550902275","584835300","GesuriID"
"1774428783279493504","Mon Apr 01 22:36:33 +0000 2024","0","@realfedinuril Bahkan selain pius alm desmon mahesa korban penculikan yg jadi kader gerindra.. ada juga andi arief yg mendukung beliau di pilpres ini..","1774928867301663072","","realfedinuril","in","Поранешна Југословенска Републ","0","0","0","https://x.com/macanasia84/status/1774928867301663072","2678399638","macanasia84"
"1774793791435948045","Mon Apr 01 16:56:36 +0000 2024","0","@toe_giman mhn MAKLUM aja efek dr anak bliau Elit DPP Gerindra jd sunatullah TOTAL bela anaknya...! https://t.co/1Lgu6UKXIz","1774843316737335420","https://pbs.twimg.com/media/GKGCeW4a4AEw9xX.png","toe_giman","in","Ciampea Kab Bogor - Jabar","0","0","0","https://x.com/TriRachman72/status/1774843316737335420","1693882419680808960","TriRachman72"
"1774841291773464821","Mon Apr 01 16:48:33 +0000 2024","0","Gerindra: Tidak Ada Gerakan Konkret Ingin Ubah UU MD3 #newsupdate #update #news #text https://t.co/LN8du6Wz57","1774841291773464821","","","in","","0","0","0","https://x.com/kumparan/status/1774841291773464821","759692754985242625","kumparan"
"1774840414065098931","Mon Apr 01 16:45:04 +0000 2024","0","Mahendra Utama: Xi Jinping Sangat Menghargai Prabowo Subianto https://t.co/Gjagld3W7F #XiJinping #PrabowoSubianto @XHNews @prabowo @Gerindra","1774840414065098931","","","in","","0","0","0","https://x.com/SayaMahe/status/1774840414065098931","1462073769803980801","SayaMahe"
