"conversation_id_str","created_at","favorite_count","full_text","id_str","image_url","in_reply_to_screen_name","lang","location","quote_count","reply_count","retweet_count","tweet_url","user_id_str","username"
"1780010764126031888","Mon Apr 15 23:10:11 +0000 2024","0","Lebay bats bapaknya kagak marah orangnya minta maaf yasudah lah ya gausah diribetin wahai abang abangan teknik","1780010764126031888","","","in","","0","0","0","https://x.com/yourpsiboii/status/1780010764126031888","1681237729999491073","yourpsiboii"
"1779809106792214781","Mon Apr 15 23:04:08 +0000 2024","1","@Anak__Ogi @psi_id @Uki23 @jokowi Mas @Uki23 mana komentar lender tetap lender...ee lumpur tetap lumpur ","1780009239572042031","","Anak__Ogi","in","Denpasar, Bali","0","0","0","https://x.com/Jivan27love/status/1780009239572042031","1499250630250364930","Jivan27love"
"1779809106792214781","Mon Apr 15 22:55:24 +0000 2024","0","@Anak__Ogi @psi_id @Uki23 @jokowi Semoga dia sadar atas penyebab kekalahan","1780007042520088626","","Anak__Ogi","in","Medan Tuntungan, Indonesia","0","0","0","https://x.com/fathersling/status/1780007042520088626","280392778","fathersling"
"1780005488551514581","Mon Apr 15 22:49:14 +0000 2024","0","maaf kayaknya aku ga bisa ambil banyak mungkin 5/10 orang di twt kalau buat gc takut kepenuhan gc kalian huhu","1780005488551514581","","","in","psikologi ui!","0","0","0","https://x.com/urbeckloppr/status/1780005488551514581","1595711850158510080","urbeckloppr"
"1779998865506337103","Mon Apr 15 22:45:40 +0000 2024","1","@nndfzyh BOLEE SAYANGKUU SINI AJAA BIAR ISTIQOMAH ","1780004593537372251","","nndfzyh","in","psikologi ui!","0","1","0","https://x.com/urbeckloppr/status/1780004593537372251","1595711850158510080","urbeckloppr"
"1779997623073857904","Mon Apr 15 22:37:45 +0000 2024","0","@waitforuilove LUCUKKK BGTTTT! TAHUN INI KETEMU KOK KITA DI UI JADI MABA BARENG AMIIINN ","1780002601125462029","","waitforuilove","in","psikologi ui!","0","0","0","https://x.com/urbeckloppr/status/1780002601125462029","1595711850158510080","urbeckloppr"
"1780002504870449602","Mon Apr 15 22:37:22 +0000 2024","437","pas lagi cape sama semuanya ️‍‍‍ https://t.co/PPBLCTPueo","1780002504870449602","https://pbs.twimg.com/media/GLPW2FTb0AA3Q8L.jpg","","in","psikologi ui!","7","5","121","https://x.com/urbeckloppr/status/1780002504870449602","1595711850158510080","urbeckloppr"
"1779998865506337103","Mon Apr 15 22:36:08 +0000 2024","1","@ElisyahIrma boleee dm aku aja yaa nanti ak kasi nomor wa aku ‍️","1780002192537399746","","irmatmcua24","in","psikologi ui!","0","0","0","https://x.com/urbeckloppr/status/1780002192537399746","1595711850158510080","urbeckloppr"
"1779998865506337103","Mon Apr 15 22:35:49 +0000 2024","0","@lvhtchemistry boleee!! km dm aku aja nnti ak kasi nomor wa aku deh mw aku list dulu soalna","1780002114191913075","","lvhtchemistry","in","psikologi ui!","0","1","0","https://x.com/urbeckloppr/status/1780002114191913075","1595711850158510080","urbeckloppr"
"1779997623073857904","Mon Apr 15 22:35:22 +0000 2024","0","@waitforuilove iyaa itu km kurang istirahat coba deh km belajar malam kisaran 2/3 jam yg menurut km oke biar bobonya dapat trs bisa salat sama belajar habis subuh tuu enak bgt pls. SEMANGAT YAA! JAGA KESEHATAN TRS ","1780002002120118704","","waitforuilove","in","psikologi ui!","0","1","0","https://x.com/urbeckloppr/status/1780002002120118704","1595711850158510080","urbeckloppr"
"1779832301964440017","Mon Apr 15 22:33:54 +0000 2024","0","@DedynurPalakka Sosok ketua umum psi ga d ijual om?","1780001633348510153","","DedynurPalakka","in","","0","0","0","https://x.com/Justowl321/status/1780001633348510153","1758658061730988032","Justowl321"
"1779066680364408900","Mon Apr 15 22:30:37 +0000 2024","0","@Anak__Ogi @kurawa @jokowi Sudah kuduga klw PSI partai jokowi benci banget ke anies. PSI adalah watak Jokowi. PSI adalah Jokowi","1780000805447483674","","Anak__Ogi","in","Lumajang, Indonesia","0","1","0","https://x.com/panjitatitu/status/1780000805447483674","838579220548739072","panjitatitu"
"1779990225059451190","Mon Apr 15 22:30:15 +0000 2024","0","@liivblck tu abala psi","1780000712425882093","","liivblck","in","Pernambuco, Brazil","0","0","0","https://x.com/luuborgs/status/1780000712425882093","1109616615283404800","luuborgs"
"1779998865506337103","Mon Apr 15 22:29:30 +0000 2024","0","@lvhtchemistry km mau???? aku niatnya 3/5 kali telfon gituu","1780000524609462668","","lvhtchemistry","in","psikologi ui!","0","1","0","https://x.com/urbeckloppr/status/1780000524609462668","1595711850158510080","urbeckloppr"
"1779832301964440017","Mon Apr 15 22:26:42 +0000 2024","38","@DedynurPalakka PSI Partainya pak Jokowi... PSI Menang menang menang... https://t.co/cCgFPqhAEP","1779999821476327547","https://pbs.twimg.com/media/GLPUZePbYAAv08-.jpg","DedynurPalakka","in","Sawangan 1, Indonesia","0","2","6","https://x.com/EskaMohamad/status/1779999821476327547","1579139556787777537","EskaMohamad"
"1779999680891633684","Mon Apr 15 22:26:34 +0000 2024","5","semoga utbk nya berjalan dgn lancar amiiinn amiiinn!! mw foto foto di rektorat ","1779999784411292057","","urbeckloppr","in","psikologi ui!","0","0","0","https://x.com/urbeckloppr/status/1779999784411292057","1595711850158510080","urbeckloppr"
"1779999680891633684","Mon Apr 15 22:26:09 +0000 2024","3","ak utbk nginep di psj habis tuh niatnya mw naik beam sore-sore hiling sebelum utbk wkwkww trs mam mam di gacoan ke uwiw lagi mampir beli jajanan dallas trs eskrim dips deh ‍️‍️","1779999680891633684","","","in","psikologi ui!","0","1","0","https://x.com/urbeckloppr/status/1779999680891633684","1595711850158510080","urbeckloppr"
"1779997623073857904","Mon Apr 15 22:24:45 +0000 2024","0","@waitforuilove astagfirullah kamu apa gaa sakit kepalanya? pls bobo ya habis subuh nnti bangun jam 9/10 belajar","1779999328326893939","","waitforuilove","in","psikologi ui!","0","1","0","https://x.com/urbeckloppr/status/1779999328326893939","1595711850158510080","urbeckloppr"
"1779999141571268712","Mon Apr 15 22:24:00 +0000 2024","0","wow ak minum vitamin yg satu ituh cocok skli ","1779999141571268712","","","in","psikologi ui!","0","1","0","https://x.com/urbeckloppr/status/1779999141571268712","1595711850158510080","urbeckloppr"
"1779999041906258121","Mon Apr 15 22:23:37 +0000 2024","0","DEMI PERIH BGT WKWKWKWW","1779999041906258121","","","in","psikologi ui!","0","0","0","https://x.com/urbeckloppr/status/1779999041906258121","1595711850158510080","urbeckloppr"
"1779998985891332591","Mon Apr 15 22:23:23 +0000 2024","19","sayangku https://t.co/OyFeV0WBvq","1779998985891332591","https://pbs.twimg.com/media/GLPTpN3bwAAP38R.jpg","","in","psikologi ui!","0","3","0","https://x.com/urbeckloppr/status/1779998985891332591","1595711850158510080","urbeckloppr"
"1779998865506337103","Mon Apr 15 22:22:54 +0000 2024","42","aku kepikiran buat miscall orang gitu bangunin tahajud sampai selesai pengumuman utbk oke kayaknya seru aja salat bareng ‍️ menurut kalian??","1779998865506337103","","","in","psikologi ui!","2","14","0","https://x.com/urbeckloppr/status/1779998865506337103","1595711850158510080","urbeckloppr"
"1779998551256498515","Mon Apr 15 22:21:40 +0000 2024","0","kayaknya emg ak start 16.30 12.00 kurang lebih (ishoma) habis tuh jam 14.00 16.00 lanjut lagi malam ak review sama nambah materi. asikkk alhamdulilah lancar ‍️‍️‍️","1779998551256498515","","","in","psikologi ui!","0","0","0","https://x.com/urbeckloppr/status/1779998551256498515","1595711850158510080","urbeckloppr"
"1779710859541147720","Mon Apr 15 22:21:26 +0000 2024","1","@DedynurPalakka @Bumi39316 Yang mencla mencle begini masih layak dipelihara nggak oleh @psi_id ? https://t.co/kFpezvCKeT","1779998495132516415","https://pbs.twimg.com/media/GLPTMp5bwAAyoBa.jpg","DedynurPalakka","in","Indonesia","0","0","0","https://x.com/Megatop99/status/1779998495132516415","278039207","Megatop99"
"1779997623073857904","Mon Apr 15 22:20:26 +0000 2024","0","@waitforuilove AK BARU BANGUN WKWKW TADI TAHAJUD AYYY KM SENDIRI GIMANA JGN JGN BELUM BOBO","1779998241796628938","","waitforuilove","in","psikologi ui!","0","1","0","https://x.com/urbeckloppr/status/1779998241796628938","1595711850158510080","urbeckloppr"
"1778524747032330400","Mon Apr 15 22:19:28 +0000 2024","1","@nndfzyh IYAA SAYANGKUUU!! SAMA-SAMA JGN LUPA ISTIRAHAT YAA HABIS BELAJAR JGN LUPA JAGA KESEHATAN JG DITUNGGU DI UI ‍️‍️","1779998000871591970","","nndfzyh","in","psikologi ui!","0","1","0","https://x.com/urbeckloppr/status/1779998000871591970","1595711850158510080","urbeckloppr"
"1779997878221770772","Mon Apr 15 22:18:59 +0000 2024","2","ya Allah ngide bgt jam 3 pagi mam ayam geprek perih skli ","1779997878221770772","","","in","psikologi ui!","1","0","0","https://x.com/urbeckloppr/status/1779997878221770772","1595711850158510080","urbeckloppr"
"1779276647772160235","Mon Apr 15 22:18:26 +0000 2024","0","@powcoyoo @secretchumber DI TWT LULU UDAH ADA SAYANGKU","1779997737796431963","","powcoyoo","in","psikologi ui!","0","0","0","https://x.com/urbeckloppr/status/1779997737796431963","1595711850158510080","urbeckloppr"
"1779879666674979164","Mon Apr 15 22:18:11 +0000 2024","1","@onetherra @rainelspage @aaa_liliee @clarambis KAKAAA ILOVE U!! KM BAIK BGT SAYANG KAKAA ️️","1779997678480605224","","onetherra","in","psikologi ui!","0","1","0","https://x.com/urbeckloppr/status/1779997678480605224","1595711850158510080","urbeckloppr"
"1779997623073857904","Mon Apr 15 22:17:58 +0000 2024","15","aku senang aku senanggg https://t.co/unGBVCBBFV","1779997623073857904","https://pbs.twimg.com/media/GLPSZwBa4AAIgDn.jpg","","in","psikologi ui!","1","1","0","https://x.com/urbeckloppr/status/1779997623073857904","1595711850158510080","urbeckloppr"
"1779799010028486861","Mon Apr 15 22:17:43 +0000 2024","2","@H1m4_W4r1 @AyamSegar3 @AntonKu08408962 @_sekarkinanthi_ @jokowi @gibran_tweet @Gerindra @prabowo @fadlizon @psi_id @kaesangp @golkar_id @golkarpedia @Alitt4mb3ng @Uki23 @adi_sareang @PartBurungGalak @mikuroQ @T0M5helby @Aryprasetyo85 @hilalmultibiz @SantorinisSun @adearmando61 @budimandjatmiko Klo cuma kelas Wapres cukup Puan yg maju.....Dunguu... Dan itu lbh menguntungkan Mega Krn anak sendiri.... Tapi itu tdk di lakukan Mega.... Bahkan jauh sblmnya penculik jauh tertinggal dr survey2..... Smua hny gimick Mukidi sang penipu.... https://t.co/8cUzMEhsir","1779997559509156325","https://pbs.twimg.com/ext_tw_video_thumb/1779997390138925056/pu/img/RqRmBeILcnQsZOpo.jpg","H1m4_W4r1","in","","0","1","0","https://x.com/Dargomb33306384/status/1779997559509156325","1077474025662668800","Dargomb33306384"
"1779772481525690430","Mon Apr 15 22:13:24 +0000 2024","1","@ring1___ @dennyindrayana Cepat atau lambat Jokowi akan d tinggalkan Prabowo Gerindra lebih butuh PDIP dan Prabowo akan lebih butuh Megawati untuk memperkuat parlemen Jokowi cm punya PSI dan tdk masuk parlemen. Prabowo tentunya tdk ingin programnya mental d parlemen jika PDIP oposisi","1779996471011770442","","ring1___","in","Kota Surabaya, Jawa Timur","1","0","0","https://x.com/HartonoRian2/status/1779996471011770442","1557633455084617728","HartonoRian2"
"1779832301964440017","Mon Apr 15 21:50:52 +0000 2024","0","@DedynurPalakka Mantab jilatinnya kenceng betul ni kader psi wkwk","1779990801340314067","","DedynurPalakka","in","","0","0","0","https://x.com/danah_kham/status/1779990801340314067","1467109780808372224","danah_kham"
"1779581503384731787","Mon Apr 15 21:47:29 +0000 2024","2","@LexWu_13 @dinar_wibowo @psi_id Min @psi_id kicep Bae ga ada suaranya? Apa lagi menikmati selangkangan????","1779989949712097637","","LexWu_13","in","","0","0","0","https://x.com/KsatriaKhaibar/status/1779989949712097637","1500131932600139777","KsatriaKhaibar"
"1779799010028486861","Mon Apr 15 21:38:49 +0000 2024","0","@AyamSegar3 @Dargomb33306384 @_sekarkinanthi_ @jokowi @gibran_tweet @Gerindra @prabowo @fadlizon @psi_id @kaesangp @golkar_id @golkarpedia @Alitt4mb3ng @AntonKu08408962 @Uki23 @adi_sareang @PartBurungGalak @mikuroQ @T0M5helby @Aryprasetyo85 @hilalmultibiz @SantorinisSun @adearmando61 @budimandjatmiko Gmn ga ngeGas. Perihal konteks sederhana MENUNGGU aja otak lu pada kagak nyampe mikirnya. Aye kagak bakalan ngeGas klo kepala elu yg kosong itu bisa diajak MIKIR. Ngiahahhahahhahahaa","1779987768393023814","","AyamSegar3","in","Brussel, Belgia","0","2","0","https://x.com/H1m4_W4r1/status/1779987768393023814","1379044492464943104","H1m4_W4r1"
"1779799010028486861","Mon Apr 15 21:37:35 +0000 2024","0","@hilalmultibiz @_sekarkinanthi_ @jokowi @gibran_tweet @Gerindra @prabowo @fadlizon @psi_id @kaesangp @golkar_id @golkarpedia @Alitt4mb3ng @AntonKu08408962 @Uki23 @adi_sareang @AyamSegar3 @PartBurungGalak @mikuroQ @T0M5helby @Aryprasetyo85 @SantorinisSun @adearmando61 @budimandjatmiko Kan tau klo itu bakal melanggar aturan. Klo emang punya pendirian teguh &amp; patuh harusnya sejak awal ga perlu nunggu kan? Menunggu artinya ada harapan ternyata harapannya dialihkan ke Mahfud MD. Lha skrng malah marah2 sama kemenangan mantan. Ngiahhahhahahhahaaa","1779987458924626224","","hilalmultibiz","in","Brussel, Belgia","1","2","0","https://x.com/H1m4_W4r1/status/1779987458924626224","1379044492464943104","H1m4_W4r1"
