"conversation_id_str","created_at","favorite_count","full_text","id_str","image_url","in_reply_to_screen_name","lang","location","quote_count","reply_count","retweet_count","tweet_url","user_id_str","username"
"1780022527810736404","Mon Apr 15 23:56:56 +0000 2024","0","Ketua Umum PPP Muhammad Mardiono mengatakan hingga kini partainya belum menerima tawaran untuk merapat ke koalisi Presiden dan Wakil Presiden terpilih Prabowo Subianto-Gibran Rakabuming Raka. #PrabowoGibran https://t.co/cZEkXtdKMi","1780022527810736404","","","in","DKI Jakarta, Indonesia","0","0","0","https://x.com/_rakyatmerdeka/status/1780022527810736404","1474011848118657029","_rakyatmerdeka"
"1780009030863438134","Mon Apr 15 23:42:55 +0000 2024","0","@CNNIndonesia PPP gabung jg buat apa? Gak punya kursi lg di DPR levelnya udah di PSI gak ada daya tawar lg.","1780019000598266110","","CNNIndonesia","in","","0","0","0","https://x.com/YungKenReds/status/1780019000598266110","796195526899183616","YungKenReds"
"1779925787921219594","Mon Apr 15 23:35:10 +0000 2024","0","@ohmybeautybank lipmask bnb baguss kalo kurang mantul ppp","1780017047960953262","","ohmybeautybank","tl","","0","0","0","https://x.com/Tahtakata_/status/1780017047960953262","1138789928702078976","Tahtakata_"
"1780016900317356463","Mon Apr 15 23:34:34 +0000 2024","6","Buka Peluang Gabung ke Prabowo-Gibran PPP: Membangun Indonesia Harus Bersama https://t.co/duxHkM8eCY #News","1780016900317356463","","","in","Jakarta","2","1","1","https://x.com/liputan6dotcom/status/1780016900317356463","47596019","liputan6dotcom"
"1780016729630048327","Mon Apr 15 23:33:54 +0000 2024","0","Ppp kuliah pagi","1780016729630048327","","","in","","0","0","0","https://x.com/msherii_/status/1780016729630048327","1556084900234936320","msherii_"
"1780010356221554890","Mon Apr 15 23:33:47 +0000 2024","0","@tempodotco Kalau mau gabung ke koalisi Jokowi lagi Percayalah @DPP_PPP makin nyungsep. Saya sedikit tahu krmana ulama dan akar rumput berpihak... 5 Tahun kedepan sebaiknya konsolisasi ke Ulama dan ummat. Jadi oposisi.","1780016702656553361","","tempodotco","in","","0","0","0","https://x.com/DidingNurislam/status/1780016702656553361","2481602298","DidingNurislam"
"1780012704742432834","Mon Apr 15 23:17:54 +0000 2024","0","Plt Ketum PPP Mardiono mengatakan pihaknya terbuka untuk bertemu dengan Ketum Gerindra yang juga presiden terpilih Prabowo Subianto. Mardiono menyebut hingga kini pertemuan dengan Prabowo belum terlaksana. https://t.co/Bhsgtczc5P https://t.co/2ViGGVefMa","1780012704742432834","https://pbs.twimg.com/media/GLPgHdVbEAAKBJZ.jpg","","in","","0","0","0","https://x.com/tinusflip/status/1780012704742432834","704238913158782977","tinusflip"
"1779733157069337073","Mon Apr 15 23:17:45 +0000 2024","1","@D19Romfis @strike_bravo_b @_masnazhif Ini lagi ya PPP n Sandi dulu sinyal out dari PDIP n sebenernya PDIP juga siap aja cuma sendiri toh mereka bisa blom lagi ada Perindo n Hanura. Kalo misalkan Ganjar ama RK PPP mayoritas nolak. Tapi kalo jadi kan mayan Golkar akan bersama PDIP malah tambah gede. Akhirnya ama MMD","1780012666838540661","","FelixSGL1","in","Jakarta","0","1","0","https://x.com/FelixSGL1/status/1780012666838540661","2862109627","FelixSGL1"
"1779733157069337073","Mon Apr 15 23:16:28 +0000 2024","1","@D19Romfis @strike_bravo_b @_masnazhif Kalo tadinya akhirnya PKS mo poros keempat seperti dulu ada wacana karna Sandi alamat saat ntu batal jadi Cawapres Ganjar trus AHY juga batal sama Anies ya PPP-Demokrat-PKS koalisi 4 jadi Sandi-AHY itu betul2 pecah suara abis sih. Ganjar terdesak gitu juga Anies mas. Kalo gasalah","1780012344246198501","","FelixSGL1","in","Jakarta","0","2","0","https://x.com/FelixSGL1/status/1780012344246198501","2862109627","FelixSGL1"
"1780011938057183447","Mon Apr 15 23:14:51 +0000 2024","3","Only Halal bihalal no politics guys :) Pelaksana Tugas (PIt) Ketua Umum PPP Mardiono menghadiri acara halal bihalal di kantor DPP Partai Golkar Jalan Anggrek Nelly Murni Jakarta Barat Senin malam (15/4/2024). https://t.co/W3SYvSgwkX","1780011938057183447","https://pbs.twimg.com/ext_tw_video_thumb/1780011903684902912/pu/img/f9vZQzu-wSkdAp9j.jpg","","in","Somewhere over the rainbow ","0","1","0","https://x.com/DakotaGeorgy/status/1780011938057183447","1717067783165620224","DakotaGeorgy"
"1780010356221554890","Mon Apr 15 23:08:34 +0000 2024","0","Soal Peluang PPP Gabung Koalisi Prabowo Gerindra: Mudah-mudahan https://t.co/26SS3AwsgD #TempoNasional","1780010356221554890","","","in","Indonesia","0","1","0","https://x.com/tempodotco/status/1780010356221554890","18129942","tempodotco"
"1780009537728381024","Mon Apr 15 23:05:19 +0000 2024","1","PPP 🇱🇾🇱🇾 Larkana Program 45 death Anniversary 14 April ghari khuda Bux https://t.co/rLgSRaoas9","1780009537728381024","https://pbs.twimg.com/ext_tw_video_thumb/1780009497702158336/pu/img/_H-NunUJQo_UrfZw.jpg","","in","Karachi Pakistan ","0","0","1","https://x.com/maslam01982/status/1780009537728381024","1626195406832173056","maslam01982"
