"conversation_id_str","created_at","favorite_count","full_text","id_str","image_url","in_reply_to_screen_name","lang","location","quote_count","reply_count","retweet_count","tweet_url","user_id_str","username"
"1776015718871658768","Thu Apr 04 22:35:18 +0000 2024","0","Mayoritas masyarakat terima hasil Pemilu 2024. Dari PBNU hingga PKS dan Nasdem juga sudah menerima hasil Pemilu 2024 https://t.co/3aTaHyDZu4","1776015718871658768","https://pbs.twimg.com/media/GKWs4lqbcAAbrDw.jpg","","in","","0","0","0","https://x.com/sembilag/status/1776015718871658768","1619572520088387584","sembilag"
"1776015704665489842","Thu Apr 04 22:35:15 +0000 2024","0","Mayoritas masyarakat terima hasil Pemilu 2024. Dari PBNU hingga PKS dan Nasdem juga sudah menerima hasil Pemilu 2024 https://t.co/fc6tfq00gQ","1776015704665489842","https://pbs.twimg.com/media/GKWs3vSbsAAFfcs.jpg","","in","","0","0","0","https://x.com/sembilag/status/1776015704665489842","1619572520088387584","sembilag"
"1776014642604912906","Thu Apr 04 22:31:02 +0000 2024","0","Nasdem dan PKS kompak terima hasil Pemilu 2024 https://t.co/s27quQUP8y","1776014642604912906","https://pbs.twimg.com/media/GKWr5eNaYAASxs0.jpg","","in","Provinsi Kalimantan Utara ","0","1","0","https://x.com/banu83999969/status/1776014642604912906","1564522329861853184","banu83999969"
"1773302233326661684","Thu Apr 04 22:09:09 +0000 2024","0","@Dennysiregar7 @officialMKRI Munghujam otakmu itu. Jgn menggiring opini yg menimbulkan perpecahan. Ya emang tugas MK cuma itu. Sesuai undang-undang kewenangan MK adalah menangani mengadili dan memutus perselisihan tentang hasil pemilu bukan tentang yg lain. Kalo proses sudah mnjadi kewenangannya Bawaslu.","1776009136469115128","","Dennysiregar7","in","Yogyakarta","0","0","0","https://x.com/lucasalv06/status/1776009136469115128","625557256","lucasalv06"
"1776005295342288970","Thu Apr 04 21:53:53 +0000 2024","0","Nasdem dan PKS kompak terima hasil pemilu 2024 https://t.co/nndoZO9Syj","1776005295342288970","https://pbs.twimg.com/media/GKWjZv1aoAAMFTa.jpg","","in","Kalimantan Timur, Indonesia","0","0","0","https://x.com/ozzaf13/status/1776005295342288970","2550013568","ozzaf13"
"1775998758289039447","Thu Apr 04 21:51:34 +0000 2024","2","@blank0429 @bawaslu_RI Apapun hasil akhirnya nanti adalah sama seperti pemilu sebelumnya.. MK mengatakan pemenang tidak sah tapi tetap jadi Presiden karena keputusan KPU mengatakan Sah dan tetap dilantik. kan anj...","1776004711834865833","","blank0429","in","Indonesia","0","0","0","https://x.com/afif_why/status/1776004711834865833","1624833888","afif_why"
"1775908810588299282","Thu Apr 04 21:49:21 +0000 2024","0","@anggaimaginer @Mudiiinn @ARSIPAJA tolol bgt sih timeline pemilu ulang ya pasti bakalan beda sama puraran kedua blok klo putaran kedua udah jelas misal hasil final rekap kmrn dua putaran lngsung bersiap untuk pemilu lg lah ini sidang mk aja entah selesainya kapan kok mau dipaksa tetep juni","1776004154265137553","","anggaimaginer","in","","0","1","0","https://x.com/ubddwsewtfr/status/1776004154265137553","151498994","ubddwsewtfr"
"1775928571632206245","Thu Apr 04 21:44:13 +0000 2024","4","@__AnakKolong digitalisasi untuk informasi penghitungan hasil pemilu dengan aplikasi sirekap saja ya gitu dech... mau digital atau manual semua kembali ke niat dan kpmitmennya ","1776002860007710735","","__AnakKolong","in","indonesia","0","0","0","https://x.com/pujasera_mgl/status/1776002860007710735","442898379","pujasera_mgl"
"1776002722010976269","Thu Apr 04 21:43:40 +0000 2024","1","LEGOWO TERIMA HASIL PEMILU itu lebih mulia dan lebih bijak dalam berpesta demokrasi daripada menggugat hanya untuk menutupi rasa malu karena kalah kalah bukan suatu hal yang hina jika kita menerima dan mengakuinya. #pemilukeren #sengketapilpres #mahkamahkonstitusi #pemilu2024 https://t.co/i7uCL5p3fD","1776002722010976269","https://pbs.twimg.com/ext_tw_video_thumb/1776001661955432448/pu/img/brHXU7mfhSukxd5_.jpg","","in","Banjarnegara, Jawa Tengah","0","0","0","https://x.com/mailbucinreborn/status/1776002722010976269","1411919983001567232","mailbucinreborn"
"1776002707804893353","Thu Apr 04 21:43:36 +0000 2024","1","LEGOWO TERIMA HASIL PEMILU itu lebih mulia dan lebih bijak dalam berpesta demokrasi daripada menggugat hanya untuk menutupi rasa malu karena kalah kalah bukan suatu hal yang hina jika kita menerima dan mengakuinya. #pemilukeren #sengketapilpres #mahkamahkonstitusi #pemilu2024 https://t.co/9nsjPlVO9m","1776002707804893353","https://pbs.twimg.com/media/GKWgFQibAAAYKwR.jpg","","in","Banjarnegara, Jawa Tengah","0","0","0","https://x.com/mailbucinreborn/status/1776002707804893353","1411919983001567232","mailbucinreborn"
